rsqrt,nsteps,dt,runs,all_ok,drift_seed1,drift_seed2,drift_seed3,drift_max,max_abs_diff_vs_exact,median_force_s,ratio_prev_dt_over_this
exact,100,0.0001,3,True,2.3041838727722504e-07,2.5304541615404967e-07,2.045228585080652e-07,2.5304541615404967e-07,0.0,4.727157,
exact,200,5e-05,3,True,5.755895385423884e-08,6.299122439709748e-08,5.0862468861712795e-08,6.299122439709748e-08,0.0,9.825407,4.0171534777423625
exact,400,2.5e-05,3,True,1.4386494168427324e-08,1.5730663554171553e-08,1.2743362750007768e-08,1.5730663554171553e-08,0.0,19.575397,4.004359013856925
approx1,100,0.0001,3,True,2.3042209317134433e-07,2.530429115594894e-07,2.0452199665113455e-07,2.530429115594894e-07,3.70589411929025e-12,0.583983,
approx1,200,5e-05,3,True,5.756271037636965e-08,6.298869061963316e-08,5.08616285861164e-08,6.298869061963316e-08,3.756522130808368e-12,1.175574,4.01727530879357
approx1,400,2.5e-05,3,True,1.4390299792096933e-08,1.5728222210111524e-08,1.2742578712829449e-08,1.5728222210111524e-08,3.805623669608261e-12,2.299557,4.004819475346574
approx2,100,0.0001,3,True,2.3041838727722504e-07,2.5304541615404967e-07,2.045228585080652e-07,2.5304541615404967e-07,0.0,0.764348,
approx2,200,5e-05,3,True,5.755895385423884e-08,6.299122439709748e-08,5.0862468861712795e-08,6.299122439709748e-08,0.0,2.897207,4.0171534777423625
approx2,400,2.5e-05,3,True,1.4386494168427324e-08,1.5730663554171553e-08,1.2743362750007768e-08,1.5730663554171553e-08,0.0,3.060202,4.004359013856925
