kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
weak,4000,20,2,1,2,kdk,overlap,direct,exact,double,0.646315,0.000143,0.000048,0.582537,0.006509,0.000126,0.063457,0.576644,OK,2.0371469389710262e-07
weak,4000,20,2,1,3,kdk,overlap,direct,exact,double,0.647315,0.000144,0.000048,0.583008,0.004572,0.000127,0.064004,0.576177,OK,1.2434984684886537e-07
weak,4000,20,2,1,4,kdk,overlap,direct,exact,double,0.647328,0.000143,0.000047,0.583605,0.003414,0.000121,0.063428,0.575588,OK,1.3350556088024315e-07
weak,4000,20,2,1,5,kdk,overlap,direct,exact,double,0.646172,0.000146,0.000047,0.582647,0.003985,0.000126,0.063202,0.576534,OK,2.5345985694879935e-07
weak,8000,20,4,1,1,kdk,overlap,direct,exact,double,1.311877,0.000216,0.000270,1.167431,0.003781,0.000146,0.144088,1.151102,OK,1.1273218207213007e-07
weak,8000,20,4,1,2,kdk,overlap,direct,exact,double,1.311368,0.000193,0.000272,1.167432,0.004217,0.000158,0.143616,1.151101,OK,1.2304055659381025e-07
weak,8000,20,4,1,3,kdk,overlap,direct,exact,double,1.311393,0.000200,0.000054,1.167446,0.003938,0.000313,0.143556,1.151087,OK,5.3130158522110967e-08
weak,8000,20,4,1,4,kdk,overlap,direct,exact,double,1.313394,0.000223,0.000257,1.169029,0.005529,0.000314,0.144021,1.149529,OK,2.5471257504655775e-07
weak,8000,20,4,1,5,kdk,overlap,direct,exact,double,1.315602,0.000189,0.000219,1.167702,0.003897,0.000150,0.147522,1.150835,OK,1.8755841024740326e-07
weak,16000,20,8,1,1,kdk,overlap,direct,exact,double,2.639342,0.000455,0.000048,2.333974,0.010476,0.000162,0.304931,2.303224,OK,1.0392502743456506e-07
weak,16000,20,8,1,2,kdk,overlap,direct,exact,double,2.639182,0.000527,0.000054,2.333892,0.009716,0.000316,0.304839,2.303305,OK,9.0997473842476426e-08
weak,16000,20,8,1,3,kdk,overlap,direct,exact,double,2.639494,0.000469,0.000287,2.333893,0.012416,0.000159,0.305189,2.303304,OK,2.1624576134381737e-07
weak,16000,20,8,1,4,kdk,overlap,direct,exact,double,2.638423,0.000446,0.000049,2.333083,0.008910,0.000323,0.304784,2.304103,OK,1.7182310580036813e-07
weak,16000,20,8,1,5,kdk,overlap,direct,exact,double,2.638321,0.000508,0.000300,2.333118,0.010980,0.000303,0.304666,2.304069,OK,3.6269107120304708e-07
weak,32000,20,16,1,1,kdk,overlap,direct,exact,double,5.296632,0.001929,0.000053,4.666389,0.017815,0.000185,0.628591,4.608130,OK,1.1402186614239664e-07
weak,32000,20,16,1,2,kdk,overlap,direct,exact,double,5.294262,0.001882,0.000049,4.664055,0.020090,0.000315,0.628483,4.610436,OK,7.5397756607635734e-08
weak,32000,20,16,1,3,kdk,overlap,direct,exact,double,5.294386,0.001857,0.000052,4.664005,0.019172,0.000182,0.628776,4.610485,OK,2.2246872893577217e-07
weak,32000,20,16,1,4,kdk,overlap,direct,exact,double,5.294622,0.001979,0.000049,4.663630,0.016250,0.000175,0.629340,4.610856,OK,7.4630719493689965e-08
weak,32000,20,16,1,5,kdk,overlap,direct,exact,double,5.295683,0.001879,0.000050,4.665624,0.017862,0.000175,0.629230,4.608886,OK,6.7263241609334153e-08
weak,64000,20,32,1,1,kdk,overlap,direct,exact,double,10.622600,0.007949,0.000051,9.340505,0.039748,0.000309,1.276630,9.208780,OK,6.2302811931205299e-08
weak,64000,20,32,1,2,kdk,overlap,direct,exact,double,10.615692,0.007617,0.000291,9.332838,0.036299,0.000187,1.278295,9.216345,OK,1.3945195486305623e-07
weak,64000,20,32,1,3,kdk,overlap,direct,exact,double,10.611973,0.007305,0.000053,9.330792,0.035881,0.000190,1.275283,9.218366,OK,3.0681876608766983e-07
weak,64000,20,32,1,4,kdk,overlap,direct,exact,double,10.614957,0.007863,0.000054,9.333888,0.029720,0.000188,1.274974,9.215309,OK,1.7467604770403878e-07
weak,64000,20,32,1,5,kdk,overlap,direct,exact,double,10.619097,0.007982,0.000050,9.337988,0.038136,0.000310,1.274228,9.211262,OK,8.5805465584652288e-08
