Test_Type,Config,Time_Sec,N,nsteps,ranks,threads,repeat,dt,eps,energy_every,force,comm_wait,gpairs,status,max_rel_drift
Kernel,direct,0.194443,10000,5,1,16,1,0.0001,0.05,100,0.140801,0.000000,4.260898,OK,1.2974058094041892e-07
Kernel,direct,0.187591,10000,5,1,16,2,0.0001,0.05,100,0.140730,0.000000,4.263067,OK,1.2974058094041892e-07
Kernel,direct,0.187779,10000,5,1,16,3,0.0001,0.05,100,0.140555,0.000000,4.268367,OK,1.2974058094041892e-07
Kernel,direct,0.187153,10000,5,1,16,4,0.0001,0.05,100,0.140654,0.000000,4.265351,OK,1.2974058094041892e-07
Kernel,direct,0.185922,10000,5,1,16,5,0.0001,0.05,100,0.141273,0.000000,4.246677,OK,1.2974058094041892e-07
Kernel,newton,0.279628,10000,5,1,16,1,0.0001,0.05,100,0.232575,0.000000,2.579558,OK,1.2974058094041892e-07
Kernel,newton,0.262491,10000,5,1,16,2,0.0001,0.05,100,0.215639,0.000000,2.782152,OK,1.2974058094041892e-07
Kernel,newton,0.279213,10000,5,1,16,3,0.0001,0.05,100,0.233206,0.000000,2.572577,OK,1.2974058094041892e-07
Kernel,newton,0.289466,10000,5,1,16,4,0.0001,0.05,100,0.244690,0.000000,2.451839,OK,1.2974058094041892e-07
Kernel,newton,0.267818,10000,5,1,16,5,0.0001,0.05,100,0.220695,0.000000,2.718409,OK,1.2974058094041892e-07
Math,exact,0.187413,10000,5,1,16,1,0.0001,0.05,100,0.140638,0.000000,4.265834,OK,1.2974058094041892e-07
Math,exact,0.189231,10000,5,1,16,2,0.0001,0.05,100,0.141883,0.000000,4.228421,OK,1.2974058094041892e-07
Math,exact,0.187197,10000,5,1,16,3,0.0001,0.05,100,0.140711,0.000000,4.263623,OK,1.2974058094041892e-07
Math,exact,0.189881,10000,5,1,16,4,0.0001,0.05,100,0.141907,0.000000,4.227709,OK,1.2974058094041892e-07
Math,exact,0.185685,10000,5,1,16,5,0.0001,0.05,100,0.141277,0.000000,4.246550,OK,1.2974058094041892e-07
Math,approx1,0.065908,10000,5,1,16,1,0.0001,0.05,100,0.018358,0.000000,32.679436,OK,1.2974022857271135e-07
Math,approx1,0.064049,10000,5,1,16,2,0.0001,0.05,100,0.017729,0.000000,33.838884,OK,1.2974022857271135e-07
Math,approx1,0.063780,10000,5,1,16,3,0.0001,0.05,100,0.017793,0.000000,33.717284,OK,1.2974022857271135e-07
Math,approx1,0.062503,10000,5,1,16,4,0.0001,0.05,100,0.017791,0.000000,33.721929,OK,1.2974022857271135e-07
Math,approx1,0.063191,10000,5,1,16,5,0.0001,0.05,100,0.018115,0.000000,33.118132,OK,1.2974022857271135e-07
Math,approx2,0.070575,10000,5,1,16,1,0.0001,0.05,100,0.023367,0.000000,25.674552,OK,1.2974058094041892e-07
Math,approx2,0.068081,10000,5,1,16,2,0.0001,0.05,100,0.022959,0.000000,26.131066,OK,1.2974058094041892e-07
