Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,0.188834,0.0008459240509643879,0.0,1.0,True
Accumulators,2,1,5,0,0.187634,0.0008921284660854633,-0.6354787803043979,1.006395429399789,True
Accumulators,4,1,5,0,0.188008,0.0016658774864917285,-0.43742122710952125,1.0043934300668056,True
Accumulators,8,1,5,0,0.188701,0.0009192650869036711,-0.07043223148373398,1.0007048187343999,True
Comm,overlap,sendrecv,5,0,0.187778,0.00025328541213421305,0.1979648572358611,0.9980242626931802,True
Comm,sendrecv,sendrecv,5,0,0.187407,0.0005410104435221185,0.0,1.0,True
Kernel,direct,direct,5,0,0.187591,0.0033576686554810608,0.0,1.0,True
Kernel,newton,direct,5,0,0.279213,0.01065215967304284,48.84136232548469,0.6718562531114239,True
Math,approx1,exact,5,0,0.06378,0.0012769106076777625,-65.96820924909157,2.938428974600188,True
Math,approx2,exact,5,0,0.068753,0.0010391999326404909,-63.31471135940409,2.7258883248730967,True
Math,exact,exact,5,0,0.187413,0.001683136595763996,0.0,1.0,True
