kind,N,ranks,threads,native_runs,container_runs,native_failed_runs,container_failed_runs,native_median,container_median,native_stdev,container_stdev,overhead_percent
strong,20000,1,1,5,5,0,0,31.157367,32.056541,0.0022872555169888373,0.004528826481550908,2.8859113801240075
weak,2000,1,1,5,5,0,0,0.310261,0.321067,0.0006120408483099685,0.0003984498713765603,3.482874096325346
