target,N,nsteps,ranks,threads,runs,failed_runs,median_time,stdev_time,overhead_vs_native_percent,max_rel_drift,all_ok
native,100000,10,32,1,5,0,15.010416,0.10689170856525813,0.0,1.5309273958555863e-07,True
x86-64-v3,100000,10,32,1,5,0,15.061305,0.011998165222232888,0.33902458133073404,1.5309273958555863e-07,True
