kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
weak,container,80000,8,1,1,576.834069,OK,2.066817093024898e-06
weak,container,80000,8,1,2,567.075956,OK,2.6477957866435566e-06
weak,container,80000,8,1,3,567.315460,OK,3.8210541978195047e-06
weak,container,80000,8,1,4,566.581747,OK,2.0098266712575964e-06
weak,container,80000,8,1,5,567.541354,OK,1.4491126761917181e-06
weak,native,160000,16,1,1,1160.420536,OK,3.2372765980702164e-06
weak,native,160000,16,1,2,1151.460268,OK,5.2220399824068915e-06
weak,native,160000,16,1,3,1151.236788,OK,1.8687246209697184e-06
weak,native,160000,16,1,4,1151.365487,OK,4.2933434381232791e-06
weak,native,160000,16,1,5,1154.900234,OK,4.1832159986303736e-06
weak,native,10000,1,1,1,57.019060,OK,1.1454455977169939e-06
weak,native,10000,1,1,2,56.784026,OK,8.016636714036648e-07
weak,native,10000,1,1,3,57.090863,OK,1.0870010758884147e-06
weak,native,10000,1,1,4,56.766143,OK,6.646763248296396e-07
weak,native,10000,1,1,5,56.787664,OK,1.1621747688655974e-06
weak,native,20000,2,1,1,129.620585,OK,1.3446914089728988e-06
weak,native,20000,2,1,2,129.965497,OK,1.3930537943819265e-06
weak,native,20000,2,1,3,129.411167,OK,1.4951856599255494e-06
weak,native,20000,2,1,4,128.892717,OK,1.0105228359488652e-06
weak,native,20000,2,1,5,129.083421,OK,1.3196810483634257e-06
weak,native,40000,4,1,1,275.273958,OK,8.8117489715901352e-07
weak,native,40000,4,1,2,274.030497,OK,1.1824953608964599e-06
weak,native,40000,4,1,3,273.165030,OK,1.2005070608605058e-06
weak,native,40000,4,1,4,272.183779,OK,2.4647263785533735e-06
weak,native,40000,4,1,5,273.585721,OK,1.7917795938295944e-06
weak,native,80000,8,1,1,565.052400,OK,2.066817093024898e-06
weak,native,80000,8,1,2,561.232530,OK,2.6477957866435566e-06
weak,native,80000,8,1,3,562.314441,OK,3.8210541978195047e-06
weak,native,80000,8,1,4,570.187079,OK,2.0098266712575964e-06
weak,native,80000,8,1,5,570.331041,OK,1.4491126761917181e-06
