kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,16,1,1,kdk,overlap,direct,exact,double,2.148137,0.000898,0.000031,1.893746,0.055945,0.000264,0.254448,4.435432,OK,5.2001751664521039e-08
strong,20000,20,16,1,2,kdk,overlap,direct,exact,double,2.143759,0.000578,0.000035,1.890239,0.055414,0.000118,0.253722,4.443660,OK,2.7529162254699258e-07
strong,20000,20,16,1,3,kdk,overlap,direct,exact,double,2.144535,0.001163,0.000031,1.891044,0.054527,0.000119,0.253120,4.441769,OK,2.1491956738641485e-07
strong,20000,20,16,1,4,kdk,overlap,direct,exact,double,2.147107,0.000958,0.000035,1.893748,0.057980,0.000121,0.253365,4.435426,OK,1.6799536988577674e-07
strong,20000,20,16,1,5,kdk,overlap,direct,exact,double,2.146987,0.001148,0.000033,1.892932,0.063745,0.000124,0.253861,4.437339,OK,2.4588968890796005e-07
weak,32000,20,16,1,1,kdk,overlap,direct,exact,double,5.451410,0.001328,0.000065,4.805393,0.134340,0.000170,0.646928,4.474833,OK,1.1402186614239664e-07
weak,32000,20,16,1,2,kdk,overlap,direct,exact,double,5.450092,0.001328,0.000054,4.804040,0.134865,0.000173,0.646377,4.476093,OK,7.5397756607635734e-08
weak,32000,20,16,1,3,kdk,overlap,direct,exact,double,5.457887,0.001358,0.000056,4.811737,0.140838,0.000176,0.645315,4.468932,OK,2.2246872893577217e-07
weak,32000,20,16,1,4,kdk,overlap,direct,exact,double,5.439938,0.001527,0.000059,4.795646,0.133140,0.000173,0.643555,4.483927,OK,7.4630719493689965e-08
weak,32000,20,16,1,5,kdk,overlap,direct,exact,double,5.450892,0.001396,0.000049,4.802379,0.137754,0.000176,0.648790,4.477640,OK,6.7263241609334153e-08
