kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,2,8,1,kdk,overlap,direct,exact,double,2.215989,0.000552,0.000398,1.916694,0.044295,0.000658,0.298154,4.382326,OK,5.2001751664521039e-08
strong,20000,20,2,8,2,kdk,overlap,direct,exact,double,2.209090,0.000560,0.000478,1.913077,0.043866,0.000775,0.294864,4.390614,OK,2.7529162254699258e-07
strong,20000,20,2,8,3,kdk,overlap,direct,exact,double,2.190244,0.000513,0.000418,1.891591,0.029015,0.000694,0.297534,4.440485,OK,2.1491956738641485e-07
strong,20000,20,2,8,4,kdk,overlap,direct,exact,double,2.196758,0.000581,0.000433,1.898103,0.025063,0.000720,0.297413,4.425251,OK,1.6799536988577674e-07
strong,20000,20,2,8,5,kdk,overlap,direct,exact,double,2.195130,0.000567,0.000431,1.897423,0.025745,0.000675,0.296511,4.426837,OK,2.4588968890796005e-07
weak,4000,20,2,8,1,kdk,overlap,direct,exact,double,0.114644,0.000158,0.000260,0.097587,0.003931,0.000397,0.016530,3.442217,OK,1.4061627780351866e-07
weak,4000,20,2,8,2,kdk,overlap,direct,exact,double,0.115012,0.000138,0.000246,0.097204,0.002865,0.000381,0.017294,3.455799,OK,2.0371469389710262e-07
weak,4000,20,2,8,3,kdk,overlap,direct,exact,double,0.124630,0.000169,0.000262,0.107182,0.010855,0.000398,0.016895,3.134083,OK,1.2434984684886537e-07
weak,4000,20,2,8,4,kdk,overlap,direct,exact,double,0.113767,0.000114,0.000257,0.096342,0.003038,0.000418,0.016980,3.486719,OK,1.3350556088024315e-07
weak,4000,20,2,8,5,kdk,overlap,direct,exact,double,0.117221,0.000141,0.000258,0.100130,0.003568,0.000430,0.016608,3.354790,OK,2.5345985694879935e-07
