kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,1,16,1,kdk,overlap,direct,exact,double,2.169464,0.000706,0.000534,1.901556,0.000000,0.001048,0.265593,4.417214,OK,5.2001751664521039e-08
strong,20000,20,1,16,2,kdk,overlap,direct,exact,double,2.167706,0.000665,0.000551,1.899065,0.000000,0.001076,0.266324,4.423007,OK,2.7529162254699258e-07
strong,20000,20,1,16,3,kdk,overlap,direct,exact,double,2.168228,0.000675,0.000530,1.900522,0.000000,0.001013,0.265454,4.419617,OK,2.1491956738641485e-07
strong,20000,20,1,16,4,kdk,overlap,direct,exact,double,2.171218,0.000724,0.000510,1.902451,0.000000,0.001032,0.266468,4.415137,OK,1.6799536988577674e-07
strong,20000,20,1,16,5,kdk,overlap,direct,exact,double,2.172094,0.000684,0.000525,1.902348,0.000000,0.001044,0.267466,4.415375,OK,2.4588968890796005e-07
weak,2000,20,1,16,1,kdk,overlap,direct,exact,double,0.047154,0.000086,0.000279,0.040630,0.000000,0.000554,0.005592,2.066418,OK,1.6018310409157515e-07
weak,2000,20,1,16,2,kdk,overlap,direct,exact,double,0.046499,0.000085,0.000272,0.040003,0.000000,0.000540,0.005592,2.098776,OK,9.7197152557755237e-08
weak,2000,20,1,16,3,kdk,overlap,direct,exact,double,0.046466,0.000093,0.000284,0.039969,0.000000,0.000525,0.005587,2.100557,OK,1.3916295443955298e-07
weak,2000,20,1,16,4,kdk,overlap,direct,exact,double,0.047458,0.000097,0.000277,0.041021,0.000000,0.000540,0.005518,2.046722,OK,1.7842325143381234e-07
weak,2000,20,1,16,5,kdk,overlap,direct,exact,double,0.047272,0.000104,0.000270,0.040898,0.000000,0.000533,0.005461,2.052854,OK,2.376710464179792e-07
