kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,4,4,1,kdk,overlap,direct,exact,double,2.230784,0.000491,0.000373,1.900937,0.033541,0.000546,0.329216,4.418652,OK,5.2001751664521039e-08
strong,20000,20,4,4,2,kdk,overlap,direct,exact,double,2.239463,0.000509,0.000424,1.910772,0.045924,0.000567,0.328132,4.395910,OK,2.7529162254699258e-07
strong,20000,20,4,4,3,kdk,overlap,direct,exact,double,2.228176,0.000521,0.000359,1.900359,0.034602,0.000527,0.327242,4.419997,OK,2.1491956738641485e-07
strong,20000,20,4,4,4,kdk,overlap,direct,exact,double,2.242084,0.000500,0.000389,1.916129,0.053442,0.000523,0.325709,4.383620,OK,1.6799536988577674e-07
strong,20000,20,4,4,5,kdk,overlap,direct,exact,double,2.260905,0.000503,0.000361,1.927874,0.058060,0.000521,0.332209,4.356913,OK,2.4588968890796005e-07
weak,8000,20,4,4,1,kdk,overlap,direct,exact,double,0.381478,0.000207,0.000365,0.319441,0.009190,0.000302,0.061666,4.206826,OK,1.1273218207213007e-07
weak,8000,20,4,4,2,kdk,overlap,direct,exact,double,0.374908,0.000214,0.000361,0.315790,0.007542,0.000311,0.058757,4.255462,OK,1.2304055659381025e-07
weak,8000,20,4,4,3,kdk,overlap,direct,exact,double,0.377934,0.000210,0.000362,0.318401,0.011799,0.000316,0.059272,4.220561,OK,5.3130158522110967e-08
weak,8000,20,4,4,4,kdk,overlap,direct,exact,double,0.382170,0.000199,0.000362,0.319364,0.012668,0.000288,0.062553,4.207832,OK,2.5471257504655775e-07
weak,8000,20,4,4,5,kdk,overlap,direct,exact,double,0.380072,0.000225,0.000361,0.320341,0.012381,0.000295,0.059416,4.195006,OK,1.8755841024740326e-07
