kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,32,2,1,kdk,overlap,direct,exact,double,0.534530,0.002604,0.000043,0.466404,0.004741,0.000087,0.069105,18.009240,OK,5.2001751664521039e-08
strong,20000,20,32,2,2,kdk,overlap,direct,exact,double,0.541999,0.002516,0.000040,0.472926,0.008908,0.000084,0.075279,17.760869,OK,2.7529162254699258e-07
strong,20000,20,32,2,3,kdk,overlap,direct,exact,double,0.541249,0.002538,0.000038,0.472685,0.010520,0.000076,0.074874,17.769931,OK,2.1491956738641485e-07
strong,20000,20,32,2,4,kdk,overlap,direct,exact,double,0.534792,0.002550,0.000042,0.466340,0.004900,0.000076,0.068881,18.011714,OK,1.6799536988577674e-07
strong,20000,20,32,2,5,kdk,overlap,direct,exact,double,0.534608,0.002560,0.000044,0.466855,0.004806,0.000085,0.067824,17.991832,OK,2.4588968890796005e-07
weak,64000,20,32,2,1,kdk,overlap,direct,exact,double,5.366203,0.008349,0.000051,4.710508,0.052460,0.000154,0.650295,18.260165,OK,6.2302811931205299e-08
weak,64000,20,32,2,2,kdk,overlap,direct,exact,double,5.364137,0.008411,0.000052,4.699443,0.036088,0.000152,0.657839,18.303161,OK,1.3945195486305623e-07
weak,64000,20,32,2,3,kdk,overlap,direct,exact,double,5.376658,0.008041,0.000048,4.718306,0.054404,0.000157,0.651975,18.229987,OK,3.0681876608766983e-07
weak,64000,20,32,2,4,kdk,overlap,direct,exact,double,5.359495,0.008197,0.000052,4.702857,0.043381,0.000267,0.650595,18.289873,OK,1.7467604770403878e-07
weak,64000,20,32,2,5,kdk,overlap,direct,exact,double,5.369590,0.008422,0.000049,4.707233,0.043267,0.000152,0.656324,18.272870,OK,8.5805465584652288e-08
