kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,4,16,1,kdk,overlap,direct,exact,double,0.535470,0.000557,0.000190,0.468349,0.004770,0.000329,0.066151,17.934430,OK,5.2001751664521039e-08
strong,20000,20,4,16,2,kdk,overlap,direct,exact,double,0.537112,0.000535,0.000190,0.468588,0.005810,0.000333,0.067550,17.925305,OK,2.7529162254699258e-07
strong,20000,20,4,16,3,kdk,overlap,direct,exact,double,0.538095,0.000543,0.000191,0.469397,0.006433,0.000335,0.067886,17.894398,OK,2.1491956738641485e-07
strong,20000,20,4,16,4,kdk,overlap,direct,exact,double,0.536850,0.000552,0.000214,0.468398,0.005749,0.000346,0.067455,17.932555,OK,1.6799536988577674e-07
strong,20000,20,4,16,5,kdk,overlap,direct,exact,double,0.535893,0.000595,0.000201,0.468835,0.005382,0.000337,0.066066,17.915855,OK,2.4588968890796005e-07
weak,8000,20,4,16,1,kdk,overlap,direct,exact,double,0.095207,0.000261,0.000137,0.080120,0.002483,0.000264,0.014494,16.772728,OK,1.1273218207213007e-07
weak,8000,20,4,16,2,kdk,overlap,direct,exact,double,0.094821,0.000264,0.000147,0.080024,0.002119,0.000264,0.014142,16.792948,OK,1.2304055659381025e-07
weak,8000,20,4,16,3,kdk,overlap,direct,exact,double,0.092382,0.000331,0.000135,0.079703,0.002217,0.000264,0.012042,16.860541,OK,5.3130158522110967e-08
weak,8000,20,4,16,4,kdk,overlap,direct,exact,double,0.095205,0.000264,0.000139,0.080787,0.003001,0.000265,0.013763,16.634265,OK,2.5471257504655775e-07
weak,8000,20,4,16,5,kdk,overlap,direct,exact,double,0.093852,0.000260,0.000136,0.080839,0.002334,0.000288,0.012395,16.623573,OK,1.8755841024740326e-07
