kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,16,4,1,kdk,overlap,direct,exact,double,0.539337,0.001398,0.000043,0.471453,0.007777,0.000076,0.067039,17.816358,OK,5.2001751664521039e-08
strong,20000,20,16,4,2,kdk,overlap,direct,exact,double,0.548299,0.001406,0.000048,0.481014,0.018227,0.000118,0.066294,17.462236,OK,2.7529162254699258e-07
strong,20000,20,16,4,3,kdk,overlap,direct,exact,double,0.540933,0.001445,0.000046,0.473587,0.008368,0.000080,0.066153,17.736091,OK,2.1491956738641485e-07
strong,20000,20,16,4,4,kdk,overlap,direct,exact,double,0.544881,0.001437,0.000042,0.477523,0.013167,0.000085,0.070680,17.589881,OK,1.6799536988577674e-07
strong,20000,20,16,4,5,kdk,overlap,direct,exact,double,0.540355,0.001399,0.000043,0.473051,0.009916,0.000079,0.066367,17.756168,OK,2.4588968890796005e-07
weak,32000,20,16,4,1,kdk,overlap,direct,exact,double,1.355105,0.002289,0.000057,1.188390,0.015791,0.000099,0.165106,18.094507,OK,1.1402186614239664e-07
weak,32000,20,16,4,2,kdk,overlap,direct,exact,double,1.356363,0.002281,0.000059,1.189889,0.017637,0.000111,0.165090,18.071714,OK,7.5397756607635734e-08
weak,32000,20,16,4,3,kdk,overlap,direct,exact,double,1.357816,0.002413,0.000055,1.191197,0.017573,0.000110,0.164505,18.051868,OK,2.2246872893577217e-07
weak,32000,20,16,4,4,kdk,overlap,direct,exact,double,1.357487,0.002320,0.000062,1.190887,0.019243,0.000110,0.164626,18.056566,OK,7.4630719493689965e-08
weak,32000,20,16,4,5,kdk,overlap,direct,exact,double,1.359251,0.002297,0.000061,1.192693,0.020554,0.000105,0.164575,18.029217,OK,6.7263241609334153e-08
