kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,8,8,1,kdk,overlap,direct,exact,double,0.537823,0.000874,0.000159,0.470583,0.006897,0.000213,0.066163,17.849297,OK,5.2001751664521039e-08
strong,20000,20,8,8,2,kdk,overlap,direct,exact,double,0.537852,0.000867,0.000150,0.470585,0.007668,0.000219,0.066257,17.849244,OK,2.7529162254699258e-07
strong,20000,20,8,8,3,kdk,overlap,direct,exact,double,0.537349,0.000893,0.000156,0.470350,0.006736,0.000218,0.066036,17.858166,OK,2.1491956738641485e-07
strong,20000,20,8,8,4,kdk,overlap,direct,exact,double,0.538265,0.000779,0.000155,0.469910,0.006563,0.000218,0.067755,17.874889,OK,1.6799536988577674e-07
strong,20000,20,8,8,5,kdk,overlap,direct,exact,double,0.539326,0.000882,0.000153,0.472058,0.008631,0.000235,0.066103,17.793523,OK,2.4588968890796005e-07
weak,16000,20,8,8,1,kdk,overlap,direct,exact,double,0.349446,0.000771,0.000135,0.304505,0.006326,0.000206,0.044007,17.653806,OK,1.0392502743456506e-07
weak,16000,20,8,8,2,kdk,overlap,direct,exact,double,0.348928,0.000733,0.000132,0.304746,0.006284,0.000204,0.043427,17.639831,OK,9.0997473842476426e-08
weak,16000,20,8,8,3,kdk,overlap,direct,exact,double,0.348173,0.000644,0.000135,0.303749,0.005477,0.000214,0.043537,17.697733,OK,2.1624576134381737e-07
weak,16000,20,8,8,4,kdk,overlap,direct,exact,double,0.347066,0.000733,0.000136,0.304849,0.006186,0.000199,0.043135,17.633842,OK,1.7182310580036813e-07
weak,16000,20,8,8,5,kdk,overlap,direct,exact,double,0.356494,0.000718,0.000132,0.311305,0.012592,0.000219,0.044567,17.268145,OK,3.6269107120304708e-07
