kind,ranks,N,runs_native,runs_container,all_ok,native_median,native_stdev,container_median,container_stdev,overhead_percent,combined_spread_percent,same_energy_drift
strong,4,100000,5,5,True,960.534691,0.8620870723950504,962.359268,1.3125197979099885,0.1899543053567987,0.16348385945068236,True
strong,8,100000,5,5,True,480.420754,1.0067483964274635,481.456489,0.886185824935028,0.215589145842765,0.27917584888322244,True
strong,16,100000,5,5,True,240.561953,1.6686964354518499,241.047079,1.1686264343913388,0.20166364379325952,0.8468557320748638,True
strong,32,100000,5,5,True,123.594681,0.023656893990967365,120.940925,0.031240070107156008,-2.1471441800962277,0.03170574361805573,True
weak,1,10000,5,5,True,38.111093,0.004131483232449858,38.21483,0.007628500750475508,0.27219633926531817,0.02276354363783381,True
weak,2,20000,5,5,True,76.624541,0.03015155883532464,76.840503,0.019604516362309542,0.28184442892780215,0.046936157719643,True
weak,4,40000,5,5,True,153.415607,0.07036620370248303,153.965801,0.07408434465863967,0.3586297448863851,0.06660065123065088,True
weak,8,80000,5,5,True,307.155161,0.7160866970983186,308.256293,0.1879607036249834,0.3584937320978421,0.2410326090164544,True
weak,16,160000,5,5,True,614.901662,1.5297461510071422,617.038021,1.611132884736233,0.3474310010890713,0.36130693508546413,True
