ranks,N,runs,all_ok,total_median,total_stdev,speedup,efficiency,force_median,efficiency_force,comm_wait_median,comm_wait_percent,energy_median,efficiency_energy,energy_percent,io_median,gpairs_per_rank,max_rel_drift
1,100000,5,True,3823.473167,2.2665840022144033,1.0,1.0,3787.409427,1.0,0.0,0.0,35.948672,1.0,0.9402098675693413,0.008813,0.26667,2.11840625642007e-06
2,100000,5,True,1920.499589,0.6337090978560085,1.9908742438163574,0.9954371219081787,1894.64054,0.9995060664647236,5.249565,0.27334371900248294,25.80953,0.6964224455075316,1.343896668753726,0.007997,0.2665385,2.118406261660004e-06
4,100000,5,True,960.534691,0.8620870723950504,3.9805674931109807,0.9951418732777452,945.68281,1.0012367220146468,2.581621,0.2687691578648043,14.831991,0.6059313277630765,1.5441390237096602,0.011081,0.26700025,2.1184062642799734e-06
8,100000,5,True,480.420754,1.0067483964274635,7.958592827569643,0.9948241034462054,472.511662,1.0019354366220912,0.92353,0.19223357698655957,7.891608,0.5694129764174805,1.642645105211254,0.012707,0.2671865,2.118406263297485e-06
16,100000,5,True,240.561953,1.6686964354518499,15.893923038611181,0.9933701899131988,236.446987,1.0011254200820077,0.630948,0.2622808769764186,4.077383,0.5510377612306717,1.6949409285848294,0.019269,0.2669705,2.118406263297485e-06
32,100000,5,True,123.594681,0.023656893990967365,30.935580205106078,0.9667368814095649,121.431544,0.9746770953826462,0.294289,0.2381081431813397,2.124692,0.5287335764430797,1.7190804513666733,0.037965,0.2599175,2.118406263297485e-06
