ranks,N,runs,all_ok,total_median,total_stdev,ideal_time,time_over_ideal,work_speedup,work_efficiency,force_median,comm_wait_percent,energy_percent,max_rel_drift
1,10000,5,True,38.111093,0.004131483232449858,38.111093,1.0,1.0,1.0,37.74165,0.0,0.9424788735395231,2.658393260596757e-07
2,20000,5,True,76.624541,0.03015155883532464,76.22599749044905,1.0052284459721355,1.9895974969807402,0.9947987484903701,75.577969,0.24648891534632492,1.3459473773552524,2.9742737319148316e-07
4,40000,5,True,153.415607,0.07036620370248303,152.45580647134713,1.006295598382691,3.97497515285644,0.99374378821411,151.031146,0.1410299800854029,1.546238382383091,7.134614575518416e-07
8,80000,5,True,307.155161,0.7160866970983186,304.9154244331433,1.0073454354466342,7.941665012313259,0.9927081265391574,302.079157,0.16412421603425376,1.6472501987358759,1.568013080294213e-06
16,160000,5,True,614.901662,1.5297461510071422,609.8346603567356,1.0083088121627923,15.86815448501385,0.9917596553133656,604.450521,0.2092290653135363,1.6965361528003156,4.725128426384104e-06
