kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,20,8,1,1,kdk,sendrecv,direct,exact,4,double,106.659862,0.076543,0.000599,98.766973,1.058171,0.001048,7.825918,2.126196,OK,3.2429078495986598e-07
strong,100000,20,8,1,2,kdk,sendrecv,direct,exact,4,double,106.014497,0.206270,0.000528,97.984729,0.235433,0.001063,7.823766,2.143170,OK,4.9355452992872889e-07
strong,100000,20,8,1,3,kdk,sendrecv,direct,exact,4,double,105.779811,0.025893,0.000459,97.931478,0.149571,0.001014,7.822161,2.144335,OK,3.4569224916184542e-07
strong,100000,20,8,1,4,kdk,sendrecv,direct,exact,4,double,106.960163,1.125011,0.000476,98.011144,0.264460,0.001024,7.824535,2.142592,OK,3.4389968897113093e-07
strong,100000,20,8,1,5,kdk,sendrecv,direct,exact,4,double,106.249006,0.580677,0.000477,97.863981,0.136528,0.001113,7.803800,2.145814,OK,3.4105920373308354e-07
