kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,16,2,1,kdk,overlap,direct,exact,double,1.056466,0.001271,0.000059,0.927892,0.008691,0.000096,0.127594,9.052322,OK,5.2001751664521039e-08
strong,20000,20,16,2,2,kdk,overlap,direct,exact,double,1.056121,0.001213,0.000061,0.928805,0.013132,0.000093,0.126812,9.043429,OK,2.7529162254699258e-07
strong,20000,20,16,2,3,kdk,overlap,direct,exact,double,1.056612,0.001258,0.000069,0.928180,0.012763,0.000099,0.127393,9.049515,OK,2.1491956738641485e-07
strong,20000,20,16,2,4,kdk,overlap,direct,exact,double,1.057304,0.001158,0.000059,0.929025,0.014765,0.000101,0.127473,9.041281,OK,1.6799536988577674e-07
strong,20000,20,16,2,5,kdk,overlap,direct,exact,double,1.057060,0.001277,0.000064,0.928794,0.014281,0.000089,0.126963,9.043537,OK,2.4588968890796005e-07
weak,32000,20,16,2,1,kdk,overlap,direct,exact,double,2.666616,0.002022,0.000056,2.343153,0.014576,0.000133,0.321756,9.177090,OK,1.1402186614239664e-07
weak,32000,20,16,2,2,kdk,overlap,direct,exact,double,2.670825,0.002099,0.000053,2.346606,0.020301,0.000141,0.323090,9.163588,OK,7.5397756607635734e-08
weak,32000,20,16,2,3,kdk,overlap,direct,exact,double,2.667334,0.002029,0.000052,2.343768,0.014393,0.000132,0.322525,9.174685,OK,2.2246872893577217e-07
weak,32000,20,16,2,4,kdk,overlap,direct,exact,double,2.666589,0.002106,0.000099,2.343098,0.019044,0.000129,0.321586,9.177306,OK,7.4630719493689965e-08
weak,32000,20,16,2,5,kdk,overlap,direct,exact,double,2.668630,0.002091,0.000056,2.344793,0.012957,0.000133,0.322149,9.170674,OK,6.7263241609334153e-08
