kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,2,16,1,kdk,overlap,direct,exact,double,1.048989,0.000577,0.000297,0.919177,0.004199,0.000486,0.128521,9.138153,OK,5.2001751664521039e-08
strong,20000,20,2,16,2,kdk,overlap,direct,exact,double,1.049258,0.000564,0.000297,0.917588,0.003043,0.000474,0.130400,9.153976,OK,2.7529162254699258e-07
strong,20000,20,2,16,3,kdk,overlap,direct,exact,double,1.047284,0.000570,0.000302,0.917654,0.003269,0.000457,0.128432,9.153315,OK,2.1491956738641485e-07
strong,20000,20,2,16,4,kdk,overlap,direct,exact,double,1.047924,0.000585,0.000312,0.917987,0.003073,0.000458,0.128684,9.150000,OK,1.6799536988577674e-07
strong,20000,20,2,16,5,kdk,overlap,direct,exact,double,1.047650,0.000536,0.000300,0.917950,0.003162,0.000480,0.128435,9.150370,OK,2.4588968890796005e-07
weak,4000,20,2,16,1,kdk,overlap,direct,exact,double,0.050050,0.000147,0.000135,0.040123,0.001283,0.000258,0.009407,8.372173,OK,1.4061627780351866e-07
weak,4000,20,2,16,2,kdk,overlap,direct,exact,double,0.047370,0.000154,0.000139,0.039313,0.000614,0.000267,0.007514,8.544670,OK,2.0371469389710262e-07
weak,4000,20,2,16,3,kdk,overlap,direct,exact,double,0.047140,0.000149,0.000137,0.039409,0.000658,0.000261,0.007215,8.523760,OK,1.2434984684886537e-07
weak,4000,20,2,16,4,kdk,overlap,direct,exact,double,0.047213,0.000160,0.000170,0.039488,0.000738,0.000273,0.007171,8.506733,OK,1.3350556088024315e-07
weak,4000,20,2,16,5,kdk,overlap,direct,exact,double,0.047179,0.000187,0.000137,0.039390,0.000890,0.000268,0.007224,8.527986,OK,2.5345985694879935e-07
