kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,1,32,1,kdk,overlap,direct,exact,double,1.051860,0.000724,0.000597,0.922415,0.000000,0.001003,0.127106,9.106076,OK,5.2001751664521039e-08
strong,20000,20,1,32,2,kdk,overlap,direct,exact,double,1.051055,0.000726,0.000619,0.921507,0.000000,0.001041,0.127138,9.115052,OK,2.7529162254699258e-07
strong,20000,20,1,32,3,kdk,overlap,direct,exact,double,1.051564,0.000726,0.000597,0.922073,0.000000,0.001063,0.127085,9.109449,OK,2.1491956738641485e-07
strong,20000,20,1,32,4,kdk,overlap,direct,exact,double,1.050400,0.000696,0.000604,0.921089,0.000000,0.001054,0.126940,9.119181,OK,1.6799536988577674e-07
strong,20000,20,1,32,5,kdk,overlap,direct,exact,double,1.051467,0.000721,0.000585,0.921745,0.000000,0.001054,0.127345,9.112697,OK,2.4588968890796005e-07
weak,2000,20,1,32,1,kdk,overlap,direct,exact,double,0.014121,0.000163,0.000259,0.010536,0.000000,0.000551,0.002606,7.968763,OK,1.6018310409157515e-07
weak,2000,20,1,32,2,kdk,overlap,direct,exact,double,0.014034,0.000095,0.000252,0.010515,0.000000,0.000540,0.002623,7.984315,OK,9.7197152557755237e-08
weak,2000,20,1,32,3,kdk,overlap,direct,exact,double,0.014050,0.000089,0.000257,0.010576,0.000000,0.000547,0.002567,7.938406,OK,1.3916295443955298e-07
weak,2000,20,1,32,4,kdk,overlap,direct,exact,double,0.014164,0.000092,0.000292,0.010493,0.000000,0.000539,0.002728,8.001162,OK,1.7842325143381234e-07
weak,2000,20,1,32,5,kdk,overlap,direct,exact,double,0.014107,0.000085,0.000255,0.010573,0.000000,0.000561,0.002619,7.940492,OK,2.376710464179792e-07
