kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,4,8,1,kdk,overlap,direct,exact,double,1.049966,0.000525,0.000259,0.921212,0.005544,0.000298,0.127767,9.117962,OK,5.2001751664521039e-08
strong,20000,20,4,8,2,kdk,overlap,direct,exact,double,1.049748,0.000637,0.000261,0.920650,0.005072,0.000327,0.128162,9.123537,OK,2.7529162254699258e-07
strong,20000,20,4,8,3,kdk,overlap,direct,exact,double,1.052500,0.000491,0.000262,0.920685,0.004930,0.000308,0.130875,9.123183,OK,2.1491956738641485e-07
strong,20000,20,4,8,4,kdk,overlap,direct,exact,double,1.052580,0.000484,0.000260,0.920556,0.005208,0.000367,0.131083,9.124461,OK,1.6799536988577674e-07
strong,20000,20,4,8,5,kdk,overlap,direct,exact,double,1.050167,0.000457,0.000255,0.921525,0.006062,0.000309,0.127736,9.114872,OK,2.4588968890796005e-07
weak,8000,20,4,8,1,kdk,overlap,direct,exact,double,0.174153,0.000245,0.000149,0.151730,0.002237,0.000216,0.021896,8.856739,OK,1.1273218207213007e-07
weak,8000,20,4,8,2,kdk,overlap,direct,exact,double,0.175138,0.000222,0.000143,0.151865,0.002303,0.000251,0.022724,8.848843,OK,1.2304055659381025e-07
weak,8000,20,4,8,3,kdk,overlap,direct,exact,double,0.175033,0.000208,0.000140,0.152283,0.002723,0.000249,0.022234,8.824544,OK,5.3130158522110967e-08
weak,8000,20,4,8,4,kdk,overlap,direct,exact,double,0.175694,0.000230,0.000147,0.152451,0.002815,0.000224,0.022676,8.814849,OK,2.5471257504655775e-07
weak,8000,20,4,8,5,kdk,overlap,direct,exact,double,0.174506,0.000233,0.000147,0.152139,0.002629,0.000221,0.021819,8.832907,OK,1.8755841024740326e-07
