kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,32,1,1,kdk,overlap,direct,exact,double,1.048035,0.002225,0.000019,0.918002,0.007926,0.000062,0.131662,9.149848,OK,5.2001751664521039e-08
strong,20000,20,32,1,2,kdk,overlap,direct,exact,double,1.046921,0.002393,0.000021,0.917702,0.007244,0.000067,0.132200,9.152837,OK,2.7529162254699258e-07
strong,20000,20,32,1,3,kdk,overlap,direct,exact,double,1.047765,0.002369,0.000022,0.918258,0.005791,0.000063,0.130738,9.147295,OK,2.1491956738641485e-07
strong,20000,20,32,1,4,kdk,overlap,direct,exact,double,1.047716,0.001965,0.000020,0.917897,0.007961,0.000060,0.132496,9.150900,OK,1.6799536988577674e-07
strong,20000,20,32,1,5,kdk,overlap,direct,exact,double,1.047684,0.001709,0.000022,0.918196,0.008018,0.000062,0.133941,9.147920,OK,2.4588968890796005e-07
weak,64000,20,32,1,1,kdk,overlap,direct,exact,double,10.619568,0.007704,0.000055,9.338414,0.034356,0.000186,1.274337,9.210842,OK,6.2302811931205299e-08
weak,64000,20,32,1,2,kdk,overlap,direct,exact,double,10.613489,0.007960,0.000052,9.332306,0.031151,0.000198,1.274787,9.216870,OK,1.3945195486305623e-07
weak,64000,20,32,1,3,kdk,overlap,direct,exact,double,10.617349,0.008090,0.000054,9.336312,0.035151,0.000182,1.273914,9.212916,OK,3.0681876608766983e-07
weak,64000,20,32,1,4,kdk,overlap,direct,exact,double,10.619479,0.007780,0.000074,9.338603,0.037657,0.000184,1.274291,9.210655,OK,1.7467604770403878e-07
weak,64000,20,32,1,5,kdk,overlap,direct,exact,double,10.612055,0.008012,0.000053,9.331376,0.030069,0.000190,1.273262,9.217789,OK,8.5805465584652288e-08
