mode,benchmark,metric,bytes,value
container,bandwidth,bandwidth_MBps,524288,5001.78
container,bandwidth,bandwidth_MBps,1048576,6145.67
container,bandwidth,bandwidth_MBps,2097152,6193.66
container,bandwidth,bandwidth_MBps,4194304,6254.05
container,latency,latency_us,1,6.35
container,latency,latency_us,2,6.31
container,latency,latency_us,4,6.30
container,latency,latency_us,8,6.33
container,latency,latency_us,16,6.39
container,latency,latency_us,32,6.44
container,latency,latency_us,64,6.44
container,latency,latency_us,128,6.53
container,latency,latency_us,256,6.66
container,latency,latency_us,512,6.83
container,latency,latency_us,1024,7.14
container,latency,latency_us,2048,9.12
container,latency,latency_us,4096,10.71
container,latency,latency_us,8192,13.42
container,latency,latency_us,16384,18.96
container,latency,latency_us,32768,29.27
container,latency,latency_us,65536,65.20
container,latency,latency_us,131072,105.92
container,latency,latency_us,262144,179.23
container,latency,latency_us,524288,195.00
container,latency,latency_us,1048576,333.16
container,latency,latency_us,2097152,802.98
container,latency,latency_us,4194304,1801.27
container,bandwidth,bandwidth_MBps,1,0.19
container,bandwidth,bandwidth_MBps,2,0.37
container,bandwidth,bandwidth_MBps,4,0.75
container,bandwidth,bandwidth_MBps,8,1.50
container,bandwidth,bandwidth_MBps,16,2.98
container,bandwidth,bandwidth_MBps,32,5.96
container,bandwidth,bandwidth_MBps,64,11.85
container,bandwidth,bandwidth_MBps,128,23.51
container,bandwidth,bandwidth_MBps,256,41.51
container,bandwidth,bandwidth_MBps,512,81.40
container,bandwidth,bandwidth_MBps,1024,155.38
container,bandwidth,bandwidth_MBps,2048,270.54
container,bandwidth,bandwidth_MBps,4096,472.98
container,bandwidth,bandwidth_MBps,8192,773.70
container,bandwidth,bandwidth_MBps,16384,1110.51
container,bandwidth,bandwidth_MBps,32768,1509.70
container,bandwidth,bandwidth_MBps,65536,1342.10
container,bandwidth,bandwidth_MBps,131072,1429.90
container,bandwidth,bandwidth_MBps,262144,1650.56
container,bandwidth,bandwidth_MBps,524288,2077.57
container,bandwidth,bandwidth_MBps,1048576,2620.69
container,bandwidth,bandwidth_MBps,2097152,2696.18
container,bandwidth,bandwidth_MBps,4194304,2800.18
