kind,N,ranks,threads,native_runs,container_runs,native_failed_runs,container_failed_runs,native_median,container_median,native_stdev,container_stdev,overhead_percent
strong,10000,1,1,5,5,0,0,37.525304,38.809023,0.09276496393197299,0.046655092126156206,3.4209423060237034
strong,10000,2,1,5,5,0,0,19.275372,19.884248,0.047929338167765435,0.013905128748055438,3.1588287894002702
strong,10000,4,1,5,5,0,0,9.829795,10.117712,0.008260381389500018,0.010741809042242437,2.9290234435204234
weak,1000,1,1,5,5,0,0,0.376323,0.389115,0.0007427107781633357,0.00033788385578480297,3.3992075956027055
weak,2000,2,1,5,5,0,0,0.777243,0.803996,0.0012775881574278928,0.0006889047103917911,3.4420380756082753
weak,4000,4,1,5,5,0,0,1.590182,1.638141,0.0024574944150496233,0.0015702322439690014,3.0159440869032657
