repeat,mode,benchmark,metric,bytes,value
2,container,latency,latency_us,1,4.48
2,container,latency,latency_us,2,4.47
2,container,latency,latency_us,4,4.47
2,container,latency,latency_us,8,4.46
2,container,latency,latency_us,16,4.46
2,container,latency,latency_us,32,4.48
2,container,latency,latency_us,64,4.51
2,container,latency,latency_us,128,4.51
2,container,latency,latency_us,256,4.52
2,container,latency,latency_us,512,4.58
2,container,latency,latency_us,1024,4.68
2,container,latency,latency_us,2048,5.53
2,container,latency,latency_us,4096,6.05
2,container,latency,latency_us,8192,6.87
2,container,latency,latency_us,16384,8.75
2,container,latency,latency_us,32768,13.45
2,container,latency,latency_us,65536,29.88
2,container,latency,latency_us,131072,48.75
2,container,latency,latency_us,262144,66.98
2,container,latency,latency_us,524288,92.26
2,container,latency,latency_us,1048576,155.81
2,container,latency,latency_us,2097152,293.71
2,container,latency,latency_us,4194304,578.99
2,container,bandwidth,bandwidth_MBps,1,0.26
2,container,bandwidth,bandwidth_MBps,2,0.53
2,container,bandwidth,bandwidth_MBps,4,1.06
2,container,bandwidth,bandwidth_MBps,8,2.12
2,container,bandwidth,bandwidth_MBps,16,4.23
2,container,bandwidth,bandwidth_MBps,32,8.48
2,container,bandwidth,bandwidth_MBps,64,16.92
2,container,bandwidth,bandwidth_MBps,128,33.67
2,container,bandwidth,bandwidth_MBps,256,59.41
2,container,bandwidth,bandwidth_MBps,512,118.15
2,container,bandwidth,bandwidth_MBps,1024,234.34
2,container,bandwidth,bandwidth_MBps,2048,433.04
2,container,bandwidth,bandwidth_MBps,4096,782.88
2,container,bandwidth,bandwidth_MBps,8192,1388.20
2,container,bandwidth,bandwidth_MBps,16384,2305.60
2,container,bandwidth,bandwidth_MBps,32768,3517.48
2,container,bandwidth,bandwidth_MBps,65536,2823.39
2,container,bandwidth,bandwidth_MBps,131072,3166.60
2,container,bandwidth,bandwidth_MBps,262144,4043.06
2,container,bandwidth,bandwidth_MBps,524288,4935.75
2,container,bandwidth,bandwidth_MBps,1048576,5828.47
2,container,bandwidth,bandwidth_MBps,2097152,6043.87
2,container,bandwidth,bandwidth_MBps,4194304,6289.98
3,native,latency,latency_us,1,4.44
3,native,latency,latency_us,2,4.42
3,native,latency,latency_us,4,4.40
3,native,latency,latency_us,8,4.39
3,native,latency,latency_us,16,4.40
3,native,latency,latency_us,32,4.41
3,native,latency,latency_us,64,4.42
3,native,latency,latency_us,128,4.44
3,native,latency,latency_us,256,4.47
3,native,latency,latency_us,512,4.53
3,native,latency,latency_us,1024,4.64
3,native,latency,latency_us,2048,5.52
3,native,latency,latency_us,4096,6.05
3,native,latency,latency_us,8192,6.83
3,native,latency,latency_us,16384,8.74
3,native,latency,latency_us,32768,13.45
3,native,latency,latency_us,65536,29.77
3,native,latency,latency_us,131072,49.19
3,native,latency,latency_us,262144,66.76
3,native,latency,latency_us,524288,92.78
3,native,latency,latency_us,1048576,147.05
3,native,latency,latency_us,2097152,292.13
3,native,latency,latency_us,4194304,584.50
3,native,bandwidth,bandwidth_MBps,1,0.26
3,native,bandwidth,bandwidth_MBps,2,0.53
3,native,bandwidth,bandwidth_MBps,4,1.06
3,native,bandwidth,bandwidth_MBps,8,2.12
3,native,bandwidth,bandwidth_MBps,16,4.25
3,native,bandwidth,bandwidth_MBps,32,8.49
3,native,bandwidth,bandwidth_MBps,64,16.93
3,native,bandwidth,bandwidth_MBps,128,33.75
3,native,bandwidth,bandwidth_MBps,256,59.29
3,native,bandwidth,bandwidth_MBps,512,118.46
3,native,bandwidth,bandwidth_MBps,1024,233.98
3,native,bandwidth,bandwidth_MBps,2048,431.52
3,native,bandwidth,bandwidth_MBps,4096,785.79
3,native,bandwidth,bandwidth_MBps,8192,1400.53
3,native,bandwidth,bandwidth_MBps,16384,2320.79
3,native,bandwidth,bandwidth_MBps,32768,3548.86
3,native,bandwidth,bandwidth_MBps,65536,2839.23
3,native,bandwidth,bandwidth_MBps,131072,3172.24
3,native,bandwidth,bandwidth_MBps,262144,4066.68
3,native,bandwidth,bandwidth_MBps,524288,4974.31
3,native,bandwidth,bandwidth_MBps,1048576,5865.75
3,native,bandwidth,bandwidth_MBps,2097152,6028.13
3,native,bandwidth,bandwidth_MBps,4194304,6251.24
3,container,latency,latency_us,1,4.36
3,container,latency,latency_us,2,4.35
3,container,latency,latency_us,4,4.42
3,container,latency,latency_us,8,4.38
3,container,latency,latency_us,16,4.46
3,container,latency,latency_us,32,4.47
3,container,latency,latency_us,64,4.50
3,container,latency,latency_us,128,4.50
3,container,latency,latency_us,256,4.52
3,container,latency,latency_us,512,4.57
3,container,latency,latency_us,1024,4.68
3,container,latency,latency_us,2048,5.49
3,container,latency,latency_us,4096,6.04
3,container,latency,latency_us,8192,6.88
3,container,latency,latency_us,16384,8.71
3,container,latency,latency_us,32768,13.48
3,container,latency,latency_us,65536,30.36
3,container,latency,latency_us,131072,48.83
3,container,latency,latency_us,262144,65.36
