mode,benchmark,metric,bytes,value
native,latency,latency_us,1,4.41
native,latency,latency_us,2,4.39
native,latency,latency_us,4,4.40
native,latency,latency_us,8,4.39
native,latency,latency_us,16,4.40
native,latency,latency_us,32,4.41
native,latency,latency_us,64,4.42
native,latency,latency_us,128,4.44
native,latency,latency_us,256,4.47
native,latency,latency_us,512,4.54
native,latency,latency_us,1024,4.62
native,latency,latency_us,2048,5.54
native,latency,latency_us,4096,6.02
native,latency,latency_us,8192,6.82
native,latency,latency_us,16384,8.70
native,latency,latency_us,32768,13.39
native,latency,latency_us,65536,30.47
native,latency,latency_us,131072,48.81
native,latency,latency_us,262144,64.38
native,latency,latency_us,524288,91.69
native,latency,latency_us,1048576,148.72
native,latency,latency_us,2097152,291.24
native,latency,latency_us,4194304,576.13
native,bandwidth,bandwidth_MBps,1,0.26
native,bandwidth,bandwidth_MBps,2,0.53
native,bandwidth,bandwidth_MBps,4,1.06
native,bandwidth,bandwidth_MBps,8,2.13
native,bandwidth,bandwidth_MBps,16,4.24
native,bandwidth,bandwidth_MBps,32,8.47
native,bandwidth,bandwidth_MBps,64,16.97
native,bandwidth,bandwidth_MBps,128,33.70
native,bandwidth,bandwidth_MBps,256,67.10
native,bandwidth,bandwidth_MBps,512,118.00
native,bandwidth,bandwidth_MBps,1024,232.85
native,bandwidth,bandwidth_MBps,2048,422.56
native,bandwidth,bandwidth_MBps,4096,780.70
native,bandwidth,bandwidth_MBps,8192,1385.46
native,bandwidth,bandwidth_MBps,16384,2280.30
native,bandwidth,bandwidth_MBps,32768,3508.32
native,bandwidth,bandwidth_MBps,65536,2800.90
native,bandwidth,bandwidth_MBps,131072,3137.34
native,bandwidth,bandwidth_MBps,262144,4088.61
native,bandwidth,bandwidth_MBps,524288,4952.17
native,bandwidth,bandwidth_MBps,1048576,5906.95
native,bandwidth,bandwidth_MBps,2097152,6121.37
native,bandwidth,bandwidth_MBps,4194304,6511.11
container,latency,latency_us,1,4.43
container,latency,latency_us,2,4.44
container,latency,latency_us,4,4.41
container,latency,latency_us,8,4.44
container,latency,latency_us,16,4.46
container,latency,latency_us,32,4.48
container,latency,latency_us,64,4.48
container,latency,latency_us,128,4.46
container,latency,latency_us,256,4.50
container,latency,latency_us,512,4.55
container,latency,latency_us,1024,4.66
container,latency,latency_us,2048,5.50
container,latency,latency_us,4096,5.97
container,latency,latency_us,8192,6.80
container,latency,latency_us,16384,8.72
container,latency,latency_us,32768,13.36
container,latency,latency_us,65536,29.30
container,latency,latency_us,131072,49.04
container,latency,latency_us,262144,64.81
container,latency,latency_us,524288,93.01
container,latency,latency_us,1048576,147.27
container,latency,latency_us,2097152,294.91
container,latency,latency_us,4194304,590.65
container,bandwidth,bandwidth_MBps,1,0.26
container,bandwidth,bandwidth_MBps,2,0.53
container,bandwidth,bandwidth_MBps,4,1.06
container,bandwidth,bandwidth_MBps,8,2.13
container,bandwidth,bandwidth_MBps,16,4.26
container,bandwidth,bandwidth_MBps,32,8.50
container,bandwidth,bandwidth_MBps,64,17.01
container,bandwidth,bandwidth_MBps,128,33.85
container,bandwidth,bandwidth_MBps,256,59.15
container,bandwidth,bandwidth_MBps,512,118.80
container,bandwidth,bandwidth_MBps,1024,234.44
container,bandwidth,bandwidth_MBps,2048,426.12
container,bandwidth,bandwidth_MBps,4096,787.47
container,bandwidth,bandwidth_MBps,8192,1395.35
container,bandwidth,bandwidth_MBps,16384,2301.14
container,bandwidth,bandwidth_MBps,32768,3519.86
container,bandwidth,bandwidth_MBps,65536,2830.66
container,bandwidth,bandwidth_MBps,131072,3167.12
container,bandwidth,bandwidth_MBps,262144,4045.95
container,bandwidth,bandwidth_MBps,524288,4839.24
container,bandwidth,bandwidth_MBps,1048576,5815.54
container,bandwidth,bandwidth_MBps,2097152,6077.29
container,bandwidth,bandwidth_MBps,4194304,6113.32
