mode,benchmark,metric,bytes,value
native,latency,latency_us,1,4.26
native,latency,latency_us,2,4.26
native,latency,latency_us,4,4.46
native,latency,latency_us,8,4.35
native,latency,latency_us,16,4.34
native,latency,latency_us,32,4.36
native,latency,latency_us,64,4.36
native,latency,latency_us,128,4.38
native,latency,latency_us,256,4.41
native,latency,latency_us,512,4.46
native,latency,latency_us,1024,4.55
native,latency,latency_us,2048,5.42
native,latency,latency_us,4096,5.90
native,latency,latency_us,8192,6.70
native,latency,latency_us,16384,8.52
native,latency,latency_us,32768,13.14
native,latency,latency_us,65536,30.36
native,latency,latency_us,131072,51.18
native,latency,latency_us,262144,64.82
native,latency,latency_us,524288,92.44
native,latency,latency_us,1048576,146.32
native,latency,latency_us,2097152,290.74
native,latency,latency_us,4194304,571.15
native,bandwidth,bandwidth_MBps,1,0.26
native,bandwidth,bandwidth_MBps,2,0.53
native,bandwidth,bandwidth_MBps,4,1.06
native,bandwidth,bandwidth_MBps,8,2.13
native,bandwidth,bandwidth_MBps,16,4.24
native,bandwidth,bandwidth_MBps,32,8.49
native,bandwidth,bandwidth_MBps,64,16.97
native,bandwidth,bandwidth_MBps,128,33.79
native,bandwidth,bandwidth_MBps,256,59.12
native,bandwidth,bandwidth_MBps,512,118.02
native,bandwidth,bandwidth_MBps,1024,235.09
native,bandwidth,bandwidth_MBps,2048,431.43
native,bandwidth,bandwidth_MBps,4096,792.84
native,bandwidth,bandwidth_MBps,8192,1398.68
native,bandwidth,bandwidth_MBps,16384,2315.81
native,bandwidth,bandwidth_MBps,32768,3526.17
native,bandwidth,bandwidth_MBps,65536,2814.92
native,bandwidth,bandwidth_MBps,131072,3114.68
native,bandwidth,bandwidth_MBps,262144,4057.30
native,bandwidth,bandwidth_MBps,524288,4921.18
native,bandwidth,bandwidth_MBps,1048576,5778.65
native,bandwidth,bandwidth_MBps,2097152,6035.25
native,bandwidth,bandwidth_MBps,4194304,6204.74
container,latency,latency_us,1,4.36
container,latency,latency_us,2,4.36
container,latency,latency_us,4,4.36
container,latency,latency_us,8,4.37
container,latency,latency_us,16,4.36
container,latency,latency_us,32,4.37
container,latency,latency_us,64,4.37
container,latency,latency_us,128,4.40
container,latency,latency_us,256,4.41
container,latency,latency_us,512,4.47
container,latency,latency_us,1024,4.60
container,latency,latency_us,2048,5.47
container,latency,latency_us,4096,5.94
container,latency,latency_us,8192,6.74
container,latency,latency_us,16384,8.61
container,latency,latency_us,32768,13.55
container,latency,latency_us,65536,31.19
container,latency,latency_us,131072,53.99
container,latency,latency_us,262144,66.91
container,latency,latency_us,524288,93.95
container,latency,latency_us,1048576,148.51
container,latency,latency_us,2097152,294.19
container,latency,latency_us,4194304,585.80
container,bandwidth,bandwidth_MBps,1,0.26
container,bandwidth,bandwidth_MBps,2,0.53
container,bandwidth,bandwidth_MBps,4,1.06
container,bandwidth,bandwidth_MBps,8,2.12
container,bandwidth,bandwidth_MBps,16,4.24
container,bandwidth,bandwidth_MBps,32,8.46
container,bandwidth,bandwidth_MBps,64,16.98
container,bandwidth,bandwidth_MBps,128,33.75
container,bandwidth,bandwidth_MBps,256,59.00
container,bandwidth,bandwidth_MBps,512,118.50
container,bandwidth,bandwidth_MBps,1024,232.58
container,bandwidth,bandwidth_MBps,2048,429.63
container,bandwidth,bandwidth_MBps,4096,786.81
container,bandwidth,bandwidth_MBps,8192,1389.27
container,bandwidth,bandwidth_MBps,16384,2306.56
container,bandwidth,bandwidth_MBps,32768,3495.94
container,bandwidth,bandwidth_MBps,65536,2809.50
container,bandwidth,bandwidth_MBps,131072,3159.86
container,bandwidth,bandwidth_MBps,262144,4050.09
container,bandwidth,bandwidth_MBps,524288,4943.95
container,bandwidth,bandwidth_MBps,1048576,5777.06
container,bandwidth,bandwidth_MBps,2097152,5967.20
container,bandwidth,bandwidth_MBps,4194304,6102.04
