kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,64,1,2,kdk,overlap,direct,exact,4,double,0.165528,0.082979,0.000004,0.062154,0.024989,0.000019,0.025981,9.652513,OK,1.0106599312269998e-07
strong,10000,5,64,1,3,kdk,overlap,direct,exact,4,double,0.156861,0.074857,0.000004,0.061747,0.023641,0.000014,0.025228,9.716138,OK,2.0452285850806521e-07
strong,10000,5,64,1,4,kdk,overlap,direct,exact,4,double,0.150132,0.072809,0.000004,0.058733,0.021859,0.000013,0.024289,10.214622,OK,2.9243207860967023e-07
strong,10000,5,64,1,5,kdk,overlap,direct,exact,4,double,0.159252,0.080062,0.000004,0.059145,0.021972,0.000009,0.022882,10.143559,OK,3.591509887214752e-08
weak,10000,5,1,1,1,kdk,overlap,direct,exact,4,double,2.615926,0.004658,0.000121,2.242683,0.000000,0.000252,0.368192,0.267510,OK,1.7300258730569728e-08
weak,10000,5,1,1,2,kdk,overlap,direct,exact,4,double,2.618309,0.004201,0.000127,2.242986,0.000000,0.000249,0.370725,0.267474,OK,1.0106599287220297e-07
weak,10000,5,1,1,3,kdk,overlap,direct,exact,4,double,2.612698,0.004301,0.000121,2.242221,0.000000,0.000249,0.365785,0.267565,OK,2.0452285876196326e-07
weak,10000,5,1,1,4,kdk,overlap,direct,exact,4,double,2.615810,0.004483,0.000120,2.243215,0.000000,0.000249,0.367721,0.267447,OK,2.9243207924547555e-07
weak,10000,5,1,1,5,kdk,overlap,direct,exact,4,double,2.605155,0.003095,0.000122,2.242639,0.000000,0.000249,0.359028,0.267515,OK,3.5915098616493388e-08
weak,20000,5,2,1,1,kdk,overlap,direct,exact,4,double,5.546152,0.006379,0.000082,4.495819,0.009420,0.000286,1.043574,0.533803,OK,1.3153359208264889e-07
weak,20000,5,2,1,2,kdk,overlap,direct,exact,4,double,5.540913,0.008594,0.000082,4.494928,0.007815,0.000291,1.037016,0.533908,OK,2.2450088855914479e-07
weak,20000,5,2,1,3,kdk,overlap,direct,exact,4,double,5.542283,0.004920,0.000085,4.493976,0.005315,0.000288,1.043006,0.534021,OK,6.511063348916404e-08
weak,20000,5,2,1,4,kdk,overlap,direct,exact,4,double,5.535800,0.005882,0.000083,4.494729,0.008506,0.000289,1.034806,0.533932,OK,8.1029046177016229e-09
weak,20000,5,2,1,5,kdk,overlap,direct,exact,4,double,5.542699,0.005886,0.000085,4.494767,0.004820,0.000293,1.041665,0.533928,OK,2.3270685357126175e-07
weak,40000,5,4,1,1,kdk,overlap,direct,exact,4,double,11.384852,0.011848,0.000083,8.983113,0.016396,0.000347,2.390500,1.068645,OK,4.0078958960999627e-08
weak,40000,5,4,1,2,kdk,overlap,direct,exact,4,double,11.369038,0.010280,0.000084,8.980783,0.011037,0.000331,2.377884,1.068922,OK,1.8877761846369703e-07
weak,40000,5,4,1,3,kdk,overlap,direct,exact,4,double,11.373297,0.010406,0.000089,8.979342,0.008938,0.000342,2.383660,1.069094,OK,1.1516833539202004e-07
weak,40000,5,4,1,4,kdk,overlap,direct,exact,4,double,11.370774,0.009079,0.000086,8.976854,0.008190,0.000337,2.384926,1.069390,OK,2.5963085662374165e-07
weak,40000,5,4,1,5,kdk,overlap,direct,exact,4,double,11.377364,0.013589,0.000089,8.979901,0.013649,0.000329,2.383887,1.069027,OK,2.6316257564373415e-08
weak,80000,5,8,1,1,kdk,overlap,direct,exact,4,double,23.049211,0.015503,0.000134,17.968653,0.033885,0.000237,5.067565,2.137028,OK,3.9714130768336038e-08
weak,80000,5,8,1,2,kdk,overlap,direct,exact,4,double,23.031323,0.016054,0.000120,17.955596,0.023503,0.000290,5.060563,2.138582,OK,7.3229803518551256e-08
weak,80000,5,8,1,3,kdk,overlap,direct,exact,4,double,23.039928,0.012834,0.000121,17.962099,0.027564,0.000244,5.066822,2.137808,OK,4.5829701193741616e-08
weak,80000,5,8,1,4,kdk,overlap,direct,exact,4,double,23.038929,0.014609,0.000116,17.961257,0.031194,0.000292,5.065248,2.137908,OK,1.788601051713259e-07
weak,80000,5,8,1,5,kdk,overlap,direct,exact,4,double,23.032205,0.012686,0.000126,17.961094,0.021684,0.000241,5.060016,2.137928,OK,9.7488998533611751e-08
weak,160000,5,16,1,1,kdk,overlap,direct,exact,4,double,46.380247,0.019774,0.000086,35.934130,0.048743,0.000273,10.430521,4.274461,OK,4.3619550437497452e-08
weak,160000,5,16,1,2,kdk,overlap,direct,exact,4,double,46.402699,0.019727,0.000089,35.958169,0.076398,0.000276,10.432840,4.271603,OK,3.203101126162211e-07
weak,160000,5,16,1,3,kdk,overlap,direct,exact,4,double,46.411243,0.020210,0.000088,35.944336,0.069544,0.000272,10.453500,4.273247,OK,1.4850866504149678e-07
weak,160000,5,16,1,4,kdk,overlap,direct,exact,4,double,46.609695,0.018889,0.000086,36.149301,0.263662,0.000272,10.477321,4.249018,OK,1.1159334831949236e-07
weak,160000,5,16,1,5,kdk,overlap,direct,exact,4,double,46.402244,0.021331,0.000087,35.942811,0.065253,0.000282,10.444792,4.273429,OK,4.033063541073143e-08
weak,320000,5,32,1,1,kdk,overlap,direct,exact,4,double,95.587522,0.042622,0.000087,73.817787,0.135592,0.000297,21.737816,8.323171,OK,2.0115136277295249e-07
weak,320000,5,32,1,2,kdk,overlap,direct,exact,4,double,95.925289,0.047554,0.000116,74.130248,0.432105,0.000279,21.820405,8.288089,OK,5.3395386996763577e-07
weak,320000,5,32,1,3,kdk,overlap,direct,exact,4,double,95.580237,0.042182,0.000087,73.804711,0.107364,0.000281,21.741392,8.324646,OK,6.9073872753562173e-08
weak,320000,5,32,1,4,kdk,overlap,direct,exact,4,double,95.640245,0.038849,0.000123,73.838175,0.158954,0.000286,21.777064,8.320873,OK,4.1467230741846895e-07
weak,320000,5,32,1,5,kdk,overlap,direct,exact,4,double,95.923174,0.043543,0.000090,74.138379,0.438990,0.000285,21.812579,8.287180,OK,2.4100927433444288e-07
weak,640000,5,64,1,1,kdk,overlap,direct,exact,4,double,194.494599,0.078718,0.000122,150.041493,0.865441,0.000326,44.509290,16.379444,OK,8.8018612273643682e-07
weak,640000,5,64,1,2,kdk,overlap,direct,exact,4,double,194.668313,0.081545,0.000092,150.263489,1.025566,0.000314,44.465293,16.355245,OK,6.6211193612215006e-07
weak,640000,5,64,1,3,kdk,overlap,direct,exact,4,double,194.767618,0.082161,0.000095,150.360994,1.114618,0.000306,44.454592,16.344639,OK,5.1021204387037311e-07
weak,640000,5,64,1,4,kdk,overlap,direct,exact,4,double,194.065959,0.088439,0.000093,149.579148,0.380451,0.000312,44.419681,16.430072,OK,1.0813211077130577e-06
weak,640000,5,64,1,5,kdk,overlap,direct,exact,4,double,194.638753,0.086050,0.000104,150.255829,1.060342,0.000308,44.428019,16.356079,OK,9.1684063876452377e-07
