mode,benchmark,metric,bytes,value
native,bandwidth,bandwidth_MBps,2048,5588.38
native,bandwidth,bandwidth_MBps,4096,8313.87
native,bandwidth,bandwidth_MBps,8192,11843.95
native,bandwidth,bandwidth_MBps,16384,20723.69
native,bandwidth,bandwidth_MBps,32768,22643.00
native,bandwidth,bandwidth_MBps,65536,23718.80
native,bandwidth,bandwidth_MBps,131072,24267.49
native,bandwidth,bandwidth_MBps,262144,24514.52
native,bandwidth,bandwidth_MBps,524288,24651.85
native,bandwidth,bandwidth_MBps,1048576,24714.91
native,bandwidth,bandwidth_MBps,2097152,24747.18
native,bandwidth,bandwidth_MBps,4194304,24762.17
native,bandwidth,bandwidth_MBps,1,4.94
native,bandwidth,bandwidth_MBps,2,9.70
native,bandwidth,bandwidth_MBps,4,19.83
native,bandwidth,bandwidth_MBps,8,39.80
native,bandwidth,bandwidth_MBps,16,77.70
native,bandwidth,bandwidth_MBps,32,154.33
native,bandwidth,bandwidth_MBps,64,292.78
native,bandwidth,bandwidth_MBps,128,608.98
native,bandwidth,bandwidth_MBps,256,1113.14
native,bandwidth,bandwidth_MBps,512,1986.36
native,bandwidth,bandwidth_MBps,1024,3651.06
native,bandwidth,bandwidth_MBps,2048,5673.79
native,bandwidth,bandwidth_MBps,4096,8274.42
native,bandwidth,bandwidth_MBps,8192,11917.63
native,bandwidth,bandwidth_MBps,16384,20694.56
native,bandwidth,bandwidth_MBps,32768,22784.17
native,bandwidth,bandwidth_MBps,65536,23597.89
native,bandwidth,bandwidth_MBps,131072,24235.67
native,bandwidth,bandwidth_MBps,262144,24512.96
native,bandwidth,bandwidth_MBps,524288,24649.86
native,bandwidth,bandwidth_MBps,1048576,24713.36
native,bandwidth,bandwidth_MBps,2097152,24744.96
native,bandwidth,bandwidth_MBps,4194304,24763.34
native,bandwidth,bandwidth_MBps,1,4.86
native,bandwidth,bandwidth_MBps,2,9.62
native,bandwidth,bandwidth_MBps,4,19.67
native,bandwidth,bandwidth_MBps,8,37.19
native,bandwidth,bandwidth_MBps,16,79.49
native,bandwidth,bandwidth_MBps,32,157.68
native,bandwidth,bandwidth_MBps,64,299.26
native,bandwidth,bandwidth_MBps,128,603.70
native,bandwidth,bandwidth_MBps,256,1057.73
native,bandwidth,bandwidth_MBps,512,2074.73
native,bandwidth,bandwidth_MBps,1024,3762.82
native,bandwidth,bandwidth_MBps,2048,5706.29
native,bandwidth,bandwidth_MBps,4096,8238.91
native,bandwidth,bandwidth_MBps,8192,11994.04
native,bandwidth,bandwidth_MBps,16384,20576.21
native,bandwidth,bandwidth_MBps,32768,22707.96
native,bandwidth,bandwidth_MBps,65536,23748.34
native,bandwidth,bandwidth_MBps,131072,24251.35
native,bandwidth,bandwidth_MBps,262144,24505.48
native,bandwidth,bandwidth_MBps,524288,24649.01
native,bandwidth,bandwidth_MBps,1048576,24713.31
native,bandwidth,bandwidth_MBps,2097152,24745.00
native,bandwidth,bandwidth_MBps,4194304,24758.79
native,bandwidth,bandwidth_MBps,1,4.88
native,bandwidth,bandwidth_MBps,2,9.80
native,bandwidth,bandwidth_MBps,4,18.19
native,bandwidth,bandwidth_MBps,8,39.48
native,bandwidth,bandwidth_MBps,16,74.29
native,bandwidth,bandwidth_MBps,32,157.38
native,bandwidth,bandwidth_MBps,64,306.37
native,bandwidth,bandwidth_MBps,128,616.39
native,bandwidth,bandwidth_MBps,256,1049.77
native,bandwidth,bandwidth_MBps,512,2065.82
native,bandwidth,bandwidth_MBps,1024,3710.17
native,bandwidth,bandwidth_MBps,2048,5637.91
native,bandwidth,bandwidth_MBps,4096,8216.20
native,bandwidth,bandwidth_MBps,8192,11990.80
native,bandwidth,bandwidth_MBps,16384,20517.05
native,bandwidth,bandwidth_MBps,32768,22849.98
native,bandwidth,bandwidth_MBps,65536,23510.86
native,bandwidth,bandwidth_MBps,131072,24204.15
native,bandwidth,bandwidth_MBps,262144,24520.50
native,bandwidth,bandwidth_MBps,524288,24647.86
native,bandwidth,bandwidth_MBps,1048576,24712.04
native,bandwidth,bandwidth_MBps,2097152,24746.37
native,bandwidth,bandwidth_MBps,4194304,24761.73
container,latency,latency_us,1,15.78
container,latency,latency_us,2,15.84
container,latency,latency_us,4,15.82
container,latency,latency_us,8,15.83
container,latency,latency_us,16,15.88
container,latency,latency_us,32,15.83
container,latency,latency_us,64,16.01
container,latency,latency_us,128,16.26
container,latency,latency_us,256,17.91
container,latency,latency_us,512,18.08
container,latency,latency_us,1024,18.27
container,latency,latency_us,2048,30.37
container,latency,latency_us,4096,31.17
container,latency,latency_us,8192,32.40
container,latency,latency_us,16384,40.43
container,latency,latency_us,32768,46.28
container,latency,latency_us,65536,80.50
container,latency,latency_us,131072,105.28
container,latency,latency_us,262144,158.99
container,latency,latency_us,524288,221.51
container,latency,latency_us,1048576,361.58
container,latency,latency_us,2097152,652.83
container,latency,latency_us,4194304,1202.34
container,latency,latency_us,1,15.79
container,latency,latency_us,2,15.82
container,latency,latency_us,4,15.85
container,latency,latency_us,8,15.82
container,latency,latency_us,16,15.85
container,latency,latency_us,32,15.82
container,latency,latency_us,64,15.98
container,latency,latency_us,128,16.21
container,latency,latency_us,256,17.93
container,latency,latency_us,512,18.08
container,latency,latency_us,1024,18.33
container,latency,latency_us,2048,30.61
container,latency,latency_us,4096,31.36
container,latency,latency_us,8192,32.41
container,latency,latency_us,16384,40.06
container,latency,latency_us,32768,45.57
container,latency,latency_us,65536,77.51
container,latency,latency_us,131072,100.02
container,latency,latency_us,262144,171.14
container,latency,latency_us,524288,238.95
container,latency,latency_us,1048576,388.60
container,latency,latency_us,2097152,685.81
container,latency,latency_us,4194304,1236.43
container,latency,latency_us,1,15.79
container,latency,latency_us,2,15.76
container,latency,latency_us,4,15.83
container,latency,latency_us,8,15.76
container,latency,latency_us,16,15.86
container,latency,latency_us,32,15.77
container,latency,latency_us,64,15.91
container,latency,latency_us,128,16.22
container,latency,latency_us,256,17.82
container,latency,latency_us,512,17.96
container,latency,latency_us,1024,18.23
container,latency,latency_us,2048,30.27
container,latency,latency_us,4096,31.56
container,latency,latency_us,8192,32.35
container,latency,latency_us,16384,40.08
container,latency,latency_us,32768,47.44
container,latency,latency_us,65536,88.81
container,latency,latency_us,131072,103.63
container,latency,latency_us,262144,158.52
container,latency,latency_us,524288,201.12
container,latency,latency_us,1048576,394.39
container,latency,latency_us,2097152,657.33
container,latency,latency_us,4194304,1229.74
container,latency,latency_us,1,15.79
container,latency,latency_us,2,15.80
container,latency,latency_us,4,15.84
container,latency,latency_us,8,15.79
container,latency,latency_us,16,15.92
container,latency,latency_us,32,15.84
container,latency,latency_us,64,16.03
container,latency,latency_us,128,16.22
container,latency,latency_us,256,17.98
container,latency,latency_us,512,18.03
container,latency,latency_us,1024,18.27
container,latency,latency_us,2048,30.15
container,latency,latency_us,4096,31.19
container,latency,latency_us,8192,32.44
container,latency,latency_us,16384,40.04
container,latency,latency_us,32768,45.37
container,latency,latency_us,65536,73.54
container,latency,latency_us,131072,111.11
container,latency,latency_us,262144,133.58
container,latency,latency_us,524288,219.14
container,latency,latency_us,1048576,373.06
container,latency,latency_us,2097152,682.69
container,latency,latency_us,4194304,1250.28
container,latency,latency_us,1,15.59
container,latency,latency_us,2,15.63
container,latency,latency_us,4,15.65
container,latency,latency_us,8,15.64
container,latency,latency_us,16,15.67
container,latency,latency_us,32,15.68
container,latency,latency_us,64,15.80
container,latency,latency_us,128,16.09
container,latency,latency_us,256,17.75
container,latency,latency_us,512,17.91
container,latency,latency_us,1024,18.13
container,latency,latency_us,2048,30.22
container,latency,latency_us,4096,31.39
container,latency,latency_us,8192,32.26
container,latency,latency_us,16384,40.10
container,latency,latency_us,32768,45.48
container,latency,latency_us,65536,85.15
container,latency,latency_us,131072,109.79
container,latency,latency_us,262144,147.08
container,latency,latency_us,524288,227.06
container,latency,latency_us,1048576,371.88
container,latency,latency_us,2097152,638.69
container,latency,latency_us,4194304,1215.62
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.94
container,bandwidth,bandwidth_MBps,4,1.87
container,bandwidth,bandwidth_MBps,8,3.69
container,bandwidth,bandwidth_MBps,16,7.51
container,bandwidth,bandwidth_MBps,32,14.77
container,bandwidth,bandwidth_MBps,64,30.58
container,bandwidth,bandwidth_MBps,128,55.86
container,bandwidth,bandwidth_MBps,256,103.37
container,bandwidth,bandwidth_MBps,512,214.45
container,bandwidth,bandwidth_MBps,1024,392.73
container,bandwidth,bandwidth_MBps,2048,752.47
container,bandwidth,bandwidth_MBps,4096,1311.18
container,bandwidth,bandwidth_MBps,8192,2076.43
container,bandwidth,bandwidth_MBps,16384,2451.04
container,bandwidth,bandwidth_MBps,32768,2687.15
container,bandwidth,bandwidth_MBps,65536,3065.82
container,bandwidth,bandwidth_MBps,131072,3537.90
container,bandwidth,bandwidth_MBps,262144,4041.19
container,bandwidth,bandwidth_MBps,524288,4063.02
container,bandwidth,bandwidth_MBps,1048576,3785.46
container,bandwidth,bandwidth_MBps,2097152,3279.67
container,bandwidth,bandwidth_MBps,4194304,3480.95
container,bandwidth,bandwidth_MBps,1,0.45
container,bandwidth,bandwidth_MBps,2,0.93
container,bandwidth,bandwidth_MBps,4,1.88
container,bandwidth,bandwidth_MBps,8,3.76
container,bandwidth,bandwidth_MBps,16,7.43
container,bandwidth,bandwidth_MBps,32,14.77
container,bandwidth,bandwidth_MBps,64,29.45
container,bandwidth,bandwidth_MBps,128,56.06
container,bandwidth,bandwidth_MBps,256,116.86
container,bandwidth,bandwidth_MBps,512,212.77
container,bandwidth,bandwidth_MBps,1024,392.78
container,bandwidth,bandwidth_MBps,2048,730.83
container,bandwidth,bandwidth_MBps,4096,1309.33
container,bandwidth,bandwidth_MBps,8192,2078.61
container,bandwidth,bandwidth_MBps,16384,2501.95
container,bandwidth,bandwidth_MBps,32768,2684.37
container,bandwidth,bandwidth_MBps,65536,2475.67
container,bandwidth,bandwidth_MBps,131072,2837.46
container,bandwidth,bandwidth_MBps,262144,2751.32
container,bandwidth,bandwidth_MBps,524288,3965.38
container,bandwidth,bandwidth_MBps,1048576,3445.89
container,bandwidth,bandwidth_MBps,2097152,3669.79
container,bandwidth,bandwidth_MBps,4194304,3401.70
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.94
container,bandwidth,bandwidth_MBps,4,1.86
container,bandwidth,bandwidth_MBps,8,3.68
container,bandwidth,bandwidth_MBps,16,7.36
container,bandwidth,bandwidth_MBps,32,14.66
container,bandwidth,bandwidth_MBps,64,30.01
container,bandwidth,bandwidth_MBps,128,54.55
container,bandwidth,bandwidth_MBps,256,102.85
container,bandwidth,bandwidth_MBps,512,210.72
container,bandwidth,bandwidth_MBps,1024,408.61
container,bandwidth,bandwidth_MBps,2048,764.14
container,bandwidth,bandwidth_MBps,4096,1270.52
container,bandwidth,bandwidth_MBps,8192,2062.71
container,bandwidth,bandwidth_MBps,16384,2487.80
container,bandwidth,bandwidth_MBps,32768,2683.59
