kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,32,2,1,kdk,overlap,direct,exact,4,double,0.116290,0.039288,0.000007,0.058905,0.016567,0.000017,0.023626,10.184950,OK,1.7300258984981847e-08
strong,10000,5,32,2,2,kdk,overlap,direct,exact,4,double,0.105611,0.034414,0.000012,0.052223,0.005412,0.000023,0.020948,11.488121,OK,1.0106599312269998e-07
strong,10000,5,32,2,3,kdk,overlap,direct,exact,4,double,0.109180,0.038180,0.000007,0.052791,0.009075,0.000014,0.021122,11.364427,OK,2.0452285850806521e-07
strong,10000,5,32,2,4,kdk,overlap,direct,exact,4,double,0.103179,0.032804,0.000007,0.052244,0.006530,0.000014,0.019931,11.483329,OK,2.9243207860967023e-07
strong,10000,5,32,2,5,kdk,overlap,direct,exact,4,double,0.104103,0.032733,0.000008,0.052748,0.006992,0.000020,0.020251,11.373789,OK,3.591509887214752e-08
weak,320000,5,32,2,1,kdk,overlap,direct,exact,4,double,50.402359,0.037878,0.000089,37.452487,0.138677,0.000215,12.914783,16.404734,OK,2.0115136277295249e-07
weak,320000,5,32,2,2,kdk,overlap,direct,exact,4,double,50.404653,0.037930,0.000073,37.484654,0.167444,0.000208,12.884526,16.390656,OK,5.3395386996763577e-07
weak,320000,5,32,2,3,kdk,overlap,direct,exact,4,double,50.309833,0.037547,0.000074,37.443252,0.116491,0.000208,12.831852,16.408780,OK,6.9073872753562173e-08
weak,320000,5,32,2,4,kdk,overlap,direct,exact,4,double,50.596911,0.039209,0.000080,37.639345,0.304012,0.000209,12.959331,16.323294,OK,4.1467230741846895e-07
weak,320000,5,32,2,5,kdk,overlap,direct,exact,4,double,50.573966,0.043958,0.000071,37.634172,0.312237,0.000206,12.935645,16.325537,OK,2.4100927433444288e-07
