kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,4,16,1,kdk,overlap,direct,exact,4,double,0.092964,0.008534,0.000039,0.062927,0.017248,0.000073,0.021396,9.533911,OK,1.7300258984981847e-08
strong,10000,5,4,16,2,kdk,overlap,direct,exact,4,double,0.080707,0.007848,0.000037,0.052924,0.005244,0.000069,0.019832,11.335948,OK,1.0106599312269998e-07
strong,10000,5,4,16,3,kdk,overlap,direct,exact,4,double,0.090030,0.008215,0.000039,0.061781,0.017040,0.000071,0.019950,9.710740,OK,2.0452285850806521e-07
strong,10000,5,4,16,4,kdk,overlap,direct,exact,4,double,0.080225,0.007743,0.000039,0.053439,0.004906,0.000070,0.019015,11.226702,OK,2.9243207860967023e-07
strong,10000,5,4,16,5,kdk,overlap,direct,exact,4,double,0.080047,0.008451,0.000038,0.054531,0.007713,0.000071,0.016965,11.001763,OK,3.591509887214752e-08
weak,40000,5,4,16,1,kdk,overlap,direct,exact,4,double,0.880505,0.011353,0.000061,0.631479,0.049001,0.000114,0.237841,15.202017,OK,4.0078958960999627e-08
weak,40000,5,4,16,2,kdk,overlap,direct,exact,4,double,0.867417,0.010897,0.000063,0.620745,0.038523,0.000098,0.235620,15.464892,OK,1.8877761795480438e-07
weak,40000,5,4,16,3,kdk,overlap,direct,exact,4,double,0.896654,0.019556,0.000065,0.636518,0.052383,0.000252,0.243641,15.081676,OK,1.1516833539202004e-07
weak,40000,5,4,16,4,kdk,overlap,direct,exact,4,double,0.872465,0.009841,0.000062,0.626565,0.043475,0.000116,0.236139,15.321250,OK,2.5963085662374165e-07
weak,40000,5,4,16,5,kdk,overlap,direct,exact,4,double,0.869273,0.010424,0.000080,0.626453,0.044797,0.000233,0.232836,15.323983,OK,2.6316257309512597e-08
