kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,2,32,1,kdk,overlap,direct,exact,4,double,0.071787,0.005920,0.000055,0.048759,0.001105,0.000116,0.016945,12.304251,OK,1.7300258984981847e-08
strong,10000,5,2,32,2,kdk,overlap,direct,exact,4,double,0.077197,0.008583,0.000055,0.051109,0.001063,0.000112,0.017340,11.738460,OK,1.0106599312269998e-07
strong,10000,5,2,32,3,kdk,overlap,direct,exact,4,double,0.075418,0.006934,0.000055,0.049856,0.001102,0.000109,0.018481,12.033390,OK,2.0452285850806521e-07
strong,10000,5,2,32,4,kdk,overlap,direct,exact,4,double,0.079960,0.005593,0.000059,0.055724,0.004614,0.000119,0.018465,10.766365,OK,2.9243207860967023e-07
strong,10000,5,2,32,5,kdk,overlap,direct,exact,4,double,0.074196,0.005910,0.000056,0.050737,0.002837,0.000111,0.017388,11.824618,OK,3.591509887214752e-08
weak,20000,5,2,32,1,kdk,overlap,direct,exact,4,double,0.225694,0.006290,0.000068,0.159076,0.006081,0.000137,0.060131,15.086420,OK,1.3153359259122772e-07
weak,20000,5,2,32,2,kdk,overlap,direct,exact,4,double,0.231901,0.007669,0.000068,0.159636,0.004008,0.000124,0.064406,15.033421,OK,2.2450088868538512e-07
weak,20000,5,2,32,3,kdk,overlap,direct,exact,4,double,0.223832,0.005776,0.000068,0.157754,0.005373,0.000131,0.060098,15.212806,OK,6.5110633616250111e-08
weak,20000,5,2,32,4,kdk,overlap,direct,exact,4,double,0.228495,0.009029,0.000068,0.159666,0.006612,0.000124,0.059603,15.030670,OK,8.1029046177016213e-09
weak,20000,5,2,32,5,kdk,overlap,direct,exact,4,double,0.223475,0.005733,0.000067,0.158188,0.005221,0.000122,0.059357,15.171102,OK,2.3270685357126175e-07
