kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
weak,8000,20,4,1,2,kdk,overlap,direct,exact,double,1.317980,0.000196,0.000049,1.173495,0.011907,0.000152,0.144365,1.145154,OK,1.2304055659381025e-07
weak,8000,20,4,1,3,kdk,overlap,direct,exact,double,1.318876,0.000207,0.000048,1.173349,0.009224,0.000150,0.145214,1.145296,OK,5.3130158522110967e-08
weak,8000,20,4,1,4,kdk,overlap,direct,exact,double,1.320852,0.000199,0.000051,1.174127,0.013474,0.000168,0.146497,1.144537,OK,2.5471257504655775e-07
weak,8000,20,4,1,5,kdk,overlap,direct,exact,double,1.318541,0.000216,0.000046,1.172988,0.009193,0.000150,0.145156,1.145649,OK,1.8755841024740326e-07
weak,16000,20,8,1,1,kdk,overlap,direct,exact,double,2.682928,0.000390,0.000053,2.373028,0.044154,0.000161,0.310050,2.265318,OK,1.0392502743456506e-07
weak,16000,20,8,1,2,kdk,overlap,direct,exact,double,2.685099,0.000393,0.000068,2.375886,0.044307,0.000157,0.309468,2.262594,OK,9.0997473842476426e-08
weak,16000,20,8,1,3,kdk,overlap,direct,exact,double,2.699265,0.000540,0.000055,2.376773,0.049196,0.000159,0.322843,2.261749,OK,2.1624576134381737e-07
weak,16000,20,8,1,4,kdk,overlap,direct,exact,double,2.685427,0.000503,0.000054,2.374996,0.047909,0.000308,0.310570,2.263441,OK,1.7182310580036813e-07
weak,16000,20,8,1,5,kdk,overlap,direct,exact,double,2.686731,0.000442,0.000052,2.376945,0.039525,0.000166,0.309807,2.261585,OK,3.6269107120304708e-07
weak,32000,20,16,1,1,kdk,overlap,direct,exact,double,5.444393,0.001970,0.000053,4.801425,0.133103,0.000176,0.643195,4.478530,OK,1.1402186614239664e-07
weak,32000,20,16,1,2,kdk,overlap,direct,exact,double,5.445201,0.001677,0.000057,4.798236,0.136121,0.000177,0.647878,4.481507,OK,7.5397756607635734e-08
weak,32000,20,16,1,3,kdk,overlap,direct,exact,double,5.448210,0.001723,0.000061,4.803764,0.138039,0.000168,0.644206,4.476350,OK,2.2246872893577217e-07
weak,32000,20,16,1,4,kdk,overlap,direct,exact,double,5.445269,0.001593,0.000051,4.799411,0.137818,0.000174,0.645796,4.480410,OK,7.4630719493689965e-08
weak,32000,20,16,1,5,kdk,overlap,direct,exact,double,5.451576,0.001891,0.000052,4.805933,0.131200,0.000169,0.645734,4.474330,OK,6.7263241609334153e-08
