Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,1.387443,0.002076142456576672,0.0,1.0,True
Accumulators,2,1,5,0,1.376882,0.0015267223061185798,-0.7611844234321729,1.0076702288213515,True
Accumulators,4,1,5,0,1.377559,0.0014021200733175558,-0.7123896260963516,1.0071750102899404,True
Accumulators,8,1,5,0,1.384242,0.0025295883459566983,-0.23071218060850135,1.0023124569258843,True
Comm,overlap,sendrecv,5,0,1.377772,0.0015458689142356216,-0.031200070816899877,1.0003120980829918,True
Comm,sendrecv,sendrecv,5,0,1.378202,0.0010422499700168178,0.0,1.0,True
Kernel,direct,direct,5,0,1.378255,0.0033426621127478897,0.0,1.0,True
Kernel,newton,direct,5,0,1.311691,0.0009260187903061172,-4.829585236404008,1.0507467078755592,True
Math,approx1,exact,5,0,0.395968,0.0012956040290150487,-71.28556780126847,3.4825692985291745,True
Math,approx2,exact,5,0,0.437884,0.0010074806201609847,-68.24594303350433,3.1492038987494406,True
Math,exact,exact,5,0,1.378986,0.0024917486229554084,0.0,1.0,True
