mode,benchmark,metric,bytes,value
native,bandwidth,bandwidth_MBps,2048,727.19
native,bandwidth,bandwidth_MBps,4096,1301.76
native,bandwidth,bandwidth_MBps,8192,2068.68
native,bandwidth,bandwidth_MBps,16384,2494.69
native,bandwidth,bandwidth_MBps,32768,2698.54
native,bandwidth,bandwidth_MBps,65536,3181.61
native,bandwidth,bandwidth_MBps,131072,3504.69
native,bandwidth,bandwidth_MBps,262144,3961.96
native,bandwidth,bandwidth_MBps,524288,3609.78
native,bandwidth,bandwidth_MBps,1048576,3758.50
native,bandwidth,bandwidth_MBps,2097152,3584.33
native,bandwidth,bandwidth_MBps,4194304,3809.27
native,bandwidth,bandwidth_MBps,1,0.44
native,bandwidth,bandwidth_MBps,2,0.90
native,bandwidth,bandwidth_MBps,4,1.76
native,bandwidth,bandwidth_MBps,8,3.58
native,bandwidth,bandwidth_MBps,16,7.08
native,bandwidth,bandwidth_MBps,32,14.08
native,bandwidth,bandwidth_MBps,64,27.81
native,bandwidth,bandwidth_MBps,128,50.72
native,bandwidth,bandwidth_MBps,256,98.96
native,bandwidth,bandwidth_MBps,512,197.91
native,bandwidth,bandwidth_MBps,1024,367.75
native,bandwidth,bandwidth_MBps,2048,675.39
native,bandwidth,bandwidth_MBps,4096,1183.67
native,bandwidth,bandwidth_MBps,8192,1981.69
native,bandwidth,bandwidth_MBps,16384,2469.51
native,bandwidth,bandwidth_MBps,32768,2674.50
native,bandwidth,bandwidth_MBps,65536,3152.12
native,bandwidth,bandwidth_MBps,131072,3530.15
native,bandwidth,bandwidth_MBps,262144,3909.52
native,bandwidth,bandwidth_MBps,524288,3707.13
native,bandwidth,bandwidth_MBps,1048576,3862.57
native,bandwidth,bandwidth_MBps,2097152,3724.24
native,bandwidth,bandwidth_MBps,4194304,3458.10
native,bandwidth,bandwidth_MBps,1,0.46
native,bandwidth,bandwidth_MBps,2,0.94
native,bandwidth,bandwidth_MBps,4,1.87
native,bandwidth,bandwidth_MBps,8,3.82
native,bandwidth,bandwidth_MBps,16,7.50
native,bandwidth,bandwidth_MBps,32,15.10
native,bandwidth,bandwidth_MBps,64,29.82
native,bandwidth,bandwidth_MBps,128,54.03
native,bandwidth,bandwidth_MBps,256,106.25
native,bandwidth,bandwidth_MBps,512,209.64
native,bandwidth,bandwidth_MBps,1024,369.16
native,bandwidth,bandwidth_MBps,2048,714.83
native,bandwidth,bandwidth_MBps,4096,1216.05
native,bandwidth,bandwidth_MBps,8192,2070.03
native,bandwidth,bandwidth_MBps,16384,2492.90
native,bandwidth,bandwidth_MBps,32768,2685.92
native,bandwidth,bandwidth_MBps,65536,2428.53
native,bandwidth,bandwidth_MBps,131072,2940.22
native,bandwidth,bandwidth_MBps,262144,2918.20
native,bandwidth,bandwidth_MBps,524288,3445.15
native,bandwidth,bandwidth_MBps,1048576,3655.71
native,bandwidth,bandwidth_MBps,2097152,3726.62
native,bandwidth,bandwidth_MBps,4194304,3488.08
native,bandwidth,bandwidth_MBps,1,0.46
native,bandwidth,bandwidth_MBps,2,0.93
native,bandwidth,bandwidth_MBps,4,1.87
native,bandwidth,bandwidth_MBps,8,3.69
native,bandwidth,bandwidth_MBps,16,7.43
native,bandwidth,bandwidth_MBps,32,14.59
native,bandwidth,bandwidth_MBps,64,28.36
native,bandwidth,bandwidth_MBps,128,51.81
native,bandwidth,bandwidth_MBps,256,106.96
native,bandwidth,bandwidth_MBps,512,194.79
native,bandwidth,bandwidth_MBps,1024,374.82
native,bandwidth,bandwidth_MBps,2048,711.66
