ranks,runs,all_ok,total_median,total_stdev,force_median,comm_wait_median,energy_median,io_median,gpairs_median,gpairs_per_rank,speedup_total,efficiency_total,speedup_force,efficiency_force,efficiency_energy,max_rel_drift
1,5,True,819.849469,0.3958841639977474,784.326736,0.0,35.438919,0.008834,0.267743,0.267743,1.0,1.0,1.0,1.0,1.0,4.935545299287297e-07
2,5,True,418.118647,0.7012685736387331,392.68268,0.435135,25.425718,0.006625,0.534778,0.267389,1.9608058020909074,0.9804029010454537,1.997355055231873,0.9986775276159365,0.6969108797635528,4.935545309069481e-07
4,5,True,210.474138,0.18885393007215887,195.827575,0.447008,14.624664,0.011095,1.072361,0.26809025,3.8952503941363092,0.9738125985340773,4.005190464111093,1.0012976160277733,0.605807405216284,4.935545292765826e-07
8,5,True,106.249006,0.4781968388108599,97.984729,0.235433,7.823766,0.20627,2.14317,0.26789625,7.716302484749834,0.9645378105937292,8.004581366959743,1.0005726708699678,0.566206207470929,4.935545299287289e-07
16,5,True,52.995571,0.0811418172756804,48.921358,0.081782,4.028549,0.022058,4.292561,0.2682850625,15.470150684856288,0.966884417803518,16.032399100613684,1.0020249437883553,0.549808985195414,4.935545299287289e-07
32,5,True,28.062812,0.38970243853907327,25.646352,0.507427,2.162327,0.254151,8.188217,0.25588178125,29.214801032768918,0.9129625322740287,30.5823898853139,0.9556996839160594,0.5121640800628212,4.935545299287289e-07
64,5,True,13.447604,0.06396256983814808,12.318361,0.09417,1.036401,0.086244,17.047552,0.266368,60.96621145298449,0.9525970539528826,63.67135497977369,0.9948649215589639,0.5342846151007188,4.935545299287289e-07
