kind,N,ranks,threads,native_runs,container_runs,native_failed_runs,container_failed_runs,native_median,container_median,native_stdev,container_stdev,overhead_percent
strong,10000,1,1,5,5,0,0,4.153097,4.273552,0.003521811139172793,0.0007321869296840041,2.9003656789138264
weak,1000,1,1,5,5,0,0,0.041501,0.043004,1.82263545449992e-05,5.0626080235389296e-05,3.621599479530607
