Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,0.366994,0.0012594987892014886,0.0,1.0,True
Accumulators,2,1,5,0,0.364504,0.0003858370122214923,-0.6784852068426166,1.0068312007549987,True
Accumulators,4,1,5,0,0.362662,0.0012024321186661603,-1.18040076949487,1.0119450066453062,True
Accumulators,8,1,5,0,0.366069,0.0011399825875863072,-0.25204771740137694,1.0025268460317591,True
Comm,overlap,sendrecv,5,0,0.364294,0.0009904547945262289,0.07334620783623666,0.9992670754939691,True
Comm,sendrecv,sendrecv,5,0,0.364027,0.0011697943408992897,0.0,1.0,True
Kernel,direct,direct,5,0,0.365126,0.00802205841414783,0.0,1.0,True
Kernel,newton,direct,5,0,0.422023,0.02709523159709104,15.582839896364536,0.8651803337732779,True
Math,approx1,exact,5,0,0.119379,0.0015576428666417715,-67.28159224705921,3.056383451025725,True
Math,approx2,exact,5,0,0.128102,0.001074420634574751,-64.89086464145939,2.8482615415840504,True
Math,exact,exact,5,0,0.364868,0.000563758192845127,0.0,1.0,True
