ranks,N,nsteps,threads,sendrecv_total_median,sendrecv_total_stdev,sendrecv_force_median,sendrecv_force_stdev,sendrecv_comm_wait_median,sendrecv_comm_wait_stdev,sendrecv_energy_median,sendrecv_energy_stdev,sendrecv_io_median,sendrecv_io_stdev,sendrecv_runs,sendrecv_all_ok,sendrecv_max_rel_drift,overlap_total_median,overlap_total_stdev,overlap_force_median,overlap_force_stdev,overlap_comm_wait_median,overlap_comm_wait_stdev,overlap_energy_median,overlap_energy_stdev,overlap_io_median,overlap_io_stdev,overlap_runs,overlap_all_ok,overlap_max_rel_drift,hidden_wait_s,overlap_fraction,total_ratio_overlap_over_sendrecv,force_ratio_overlap_over_sendrecv,sendrecv_wait_fraction_of_total,wait_per_ring_phase_ms,force_per_ring_phase_ms
2,100000,20,1,418.118647,0.7012685736387331,392.68268,0.6750001830925827,0.435135,0.42229309738059895,25.425718,0.05303885463789758,0.006625,0.0015512521394022317,5,True,4.935545309069481e-07,417.871698,0.4022764779201108,392.192133,0.4202476664043541,0.533634,0.11081331299667925,25.39784,0.031097575029253203,0.007748,0.09357934934428642,5,True,4.935545309069481e-07,-0.09849900000000006,-0.22636423179013423,0.9994093805627376,0.9987507801464531,0.001040697426728256,10.360357142857143,9349.58761904762
8,100000,20,1,106.249006,0.4781968388108599,97.984729,0.37062801875532597,0.235433,0.38920354541075286,7.823766,0.009177079410139198,0.20627,0.4583545249587921,5,True,4.935545299287289e-07,105.798155,0.40967801342945037,97.935295,0.07106853065668434,0.187928,0.03976738546472474,7.813021,0.006225831454512569,0.06089,0.373378075903902,5,True,4.935545299287289e-07,0.04750499999999999,0.2017771510366006,0.9957566567728643,0.9994954928129668,0.0022158607300288534,1.4013869047619048,583.2424345238096
32,100000,20,1,28.062812,0.38970243853907327,25.646352,0.21883221322236904,0.507427,0.21804492759016436,2.162327,0.005168661770710122,0.254151,0.18107172653730344,5,True,4.935545299287289e-07,27.966968,0.4836969692620575,25.678845,0.005615482374648959,0.505883,0.007041800799511452,2.163671,0.010199025992711244,0.132671,0.4797895562736855,5,True,4.935545299287289e-07,0.0015439999999999898,0.003042802215885221,0.9965846615798873,1.0012669638161404,0.018081830145888444,0.7550997023809524,38.16421428571429
