kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,1,64,1,kdk,overlap,direct,exact,4,double,0.650532,0.005391,0.002703,0.624273,0.000000,0.005082,0.013023,16.177200,OK,1.662184009434792e-07
strong,10000,100,1,64,2,kdk,overlap,direct,exact,4,double,0.648108,0.005741,0.002691,0.621501,0.000000,0.005057,0.013068,16.249348,OK,1.0007068675817504e-07
strong,10000,100,1,64,3,kdk,overlap,direct,exact,4,double,0.644726,0.003077,0.002644,0.620486,0.000000,0.005379,0.013056,16.275945,OK,1.0108481338745483e-07
strong,10000,100,1,64,4,kdk,overlap,direct,exact,4,double,0.644737,0.003484,0.002638,0.620598,0.000000,0.005009,0.012943,16.272994,OK,2.6583932580535362e-07
strong,10000,100,1,64,5,kdk,overlap,direct,exact,4,double,0.953766,0.006247,0.002621,0.899532,0.000000,0.015348,0.029965,11.226935,OK,2.0057647803197792e-07
weak,1000,100,1,64,1,kdk,overlap,direct,exact,4,double,0.025895,0.004872,0.001809,0.012863,0.000000,0.003802,0.002486,7.844013,OK,6.4953525256473448e-08
weak,1000,100,1,64,2,kdk,overlap,direct,exact,4,double,0.024387,0.003075,0.001906,0.012837,0.000000,0.003971,0.002527,7.860145,OK,5.337975108227445e-08
weak,1000,100,1,64,3,kdk,overlap,direct,exact,4,double,0.034708,0.013287,0.001936,0.012870,0.000000,0.003956,0.002608,7.840006,OK,7.2058165458871336e-08
weak,1000,100,1,64,4,kdk,overlap,direct,exact,4,double,0.026217,0.005189,0.001826,0.012826,0.000000,0.003893,0.002409,7.867035,OK,9.54183507277028e-08
weak,1000,100,1,64,5,kdk,overlap,direct,exact,4,double,0.031481,0.005393,0.001784,0.017947,0.000000,0.003880,0.002419,5.622094,OK,7.2665445016072631e-08
