N,nsteps,ranks,threads,energy_every,runs,failed_runs,total_median,force_median,energy_median,energy_fraction,overhead_vs_sparse_percent,max_rel_drift,all_ok
50000,50,8,1,1,5,0,107.53006,56.370499,51.164108,0.47581214034475566,84.15372232384573,5.089651927841332e-07,True
50000,50,8,1,5,5,0,67.393321,56.351241,11.040441,0.163820996445627,15.416386096276709,5.089651927841332e-07,True
50000,50,8,1,10,5,0,62.409538,56.381829,6.031622,0.0966458364104538,6.881264003865494,4.4465212766764507e-07,True
50000,50,8,1,50,5,0,58.391467,56.383696,2.012908,0.03447263964099412,0.0,3.4395763011340617e-07,True
