kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,64,1,1,kdk,overlap,direct,exact,4,double,0.713631,0.075174,0.000053,0.626225,0.015505,0.000126,0.014866,16.126785,OK,1.662184009434792e-07
strong,10000,100,64,1,2,kdk,overlap,direct,exact,4,double,0.701607,0.063894,0.000053,0.625318,0.014407,0.000125,0.014819,16.150174,OK,1.0007068675817504e-07
strong,10000,100,64,1,3,kdk,overlap,direct,exact,4,double,0.727440,0.061928,0.000051,0.653349,0.041829,0.000123,0.016567,15.457273,OK,1.0108481338745483e-07
strong,10000,100,64,1,4,kdk,overlap,direct,exact,4,double,0.700771,0.063730,0.000056,0.625667,0.014307,0.000121,0.014387,16.141167,OK,2.6583932580535362e-07
strong,10000,100,64,1,5,kdk,overlap,direct,exact,4,double,0.722908,0.073064,0.000054,0.637552,0.027365,0.000122,0.014191,15.840255,OK,2.0057647803197792e-07
weak,64000,100,64,1,1,kdk,overlap,direct,exact,4,double,24.802958,0.074086,0.000144,24.300756,0.063649,0.000432,0.468657,17.023731,OK,6.1424356258381781e-07
weak,64000,100,64,1,2,kdk,overlap,direct,exact,4,double,24.792790,0.067250,0.000130,24.297793,0.061466,0.000395,0.454541,17.025807,OK,5.0615459150946845e-07
weak,64000,100,64,1,3,kdk,overlap,direct,exact,4,double,24.789036,0.070853,0.000133,24.287964,0.059774,0.000388,0.456432,17.032697,OK,7.3330096895740383e-07
weak,64000,100,64,1,4,kdk,overlap,direct,exact,4,double,26.374594,0.064695,0.000134,25.883943,1.652883,0.000401,0.673304,15.982477,OK,1.2096484916519842e-06
weak,64000,100,64,1,5,kdk,overlap,direct,exact,4,double,26.421854,0.065943,0.000143,25.965938,1.717826,0.000396,0.638187,15.932008,OK,1.3556969603892514e-06
