Final Orfeo run
RUN_DIR=/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715
Generated at: Sat Sep 12 08:17:44 CEST 2026

Jobs:
00_build_vec	1625040	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/00_build_vec
01_probe	1625041	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/01_probe
02_scaling	1625042	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/02_scaling
03_hybrid	1625043	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/03_hybrid
04_ablation	1625044	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/04_ablation
05_evidence	1625045	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/05_evidence
06_memory	1625046	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/06_memory
07_arch	1625047	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/07_arch
08_container	1625048	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/08_container
09_osu	1625049	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/09_osu

Slurm status:
JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
1625042.50   nbody_dir+  COMPLETED      0:0   00:00:01          2        genoa003 
1625042.51   nbody_dir+  COMPLETED      0:0   00:00:02          2        genoa003 
1625042.52   nbody_dir+  COMPLETED      0:0   00:00:01          2        genoa003 
1625042.53   nbody_dir+  COMPLETED      0:0   00:00:01          2        genoa003 
1625042.54   nbody_dir+  COMPLETED      0:0   00:00:02          4        genoa003 
1625042.55   nbody_dir+  COMPLETED      0:0   00:00:03          4        genoa003 
1625042.56   nbody_dir+  COMPLETED      0:0   00:00:02          4        genoa003 
1625042.57   nbody_dir+  COMPLETED      0:0   00:00:02          4        genoa003 
1625042.58   nbody_dir+  COMPLETED      0:0   00:00:02          4        genoa003 
1625042.59   nbody_dir+  COMPLETED      0:0   00:00:02          4        genoa003 
1625042.60   nbody_dir+  COMPLETED      0:0   00:00:04          8        genoa003 
1625042.61   nbody_dir+  COMPLETED      0:0   00:00:04          8        genoa003 
1625042.62   nbody_dir+  COMPLETED      0:0   00:00:04          8        genoa003 
1625042.63   nbody_dir+  COMPLETED      0:0   00:00:04          8        genoa003 
1625042.64   nbody_dir+  COMPLETED      0:0   00:00:03          8        genoa003 
1625042.65   nbody_dir+  COMPLETED      0:0   00:00:04          8        genoa003 
1625042.66   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.67   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.68   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.69   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.70   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.71   nbody_dir+  COMPLETED      0:0   00:00:07         16        genoa003 
1625042.72   nbody_dir+  COMPLETED      0:0   00:00:13         32        genoa003 
1625042.73   nbody_dir+  COMPLETED      0:0   00:00:14         32        genoa003 
1625042.74   nbody_dir+  COMPLETED      0:0   00:00:13         32        genoa003 
1625042.75   nbody_dir+  COMPLETED      0:0   00:00:13         32        genoa003 
1625042.76   nbody_dir+  COMPLETED      0:0   00:00:14         32        genoa003 
1625042.77   nbody_dir+  COMPLETED      0:0   00:00:13         32        genoa003 
1625042.78   nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625042.79   nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625042.80   nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625042.81   nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625042.82   nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625042.83   nbody_dir+  COMPLETED      0:0   00:00:28         64        genoa003 

JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625043      hybrid_or+  COMPLETED      0:0   00:05:12         64        genoa003 
1625043.bat+      batch  COMPLETED      0:0   00:05:12         64        genoa003 
1625043.ext+     extern  COMPLETED      0:0   00:05:12         64        genoa003 
1625043.0    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.1    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.2    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.3    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.4    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.5    nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.6    nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625043.7    nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
