kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
weak,1000,100,1,1,1,kdk,overlap,direct,exact,4,double,0.387869,0.005495,0.000120,0.378303,0.000000,0.000266,0.003667,0.266715,OK,6.4953525256473448e-08
weak,1000,100,1,1,2,kdk,overlap,direct,exact,4,double,0.385282,0.002606,0.000119,0.378629,0.000000,0.000269,0.003642,0.266485,OK,5.337975108227445e-08
weak,1000,100,1,1,3,kdk,overlap,direct,exact,4,double,0.387948,0.005391,0.000120,0.378513,0.000000,0.000270,0.003639,0.266567,OK,7.2058165458871336e-08
weak,1000,100,1,1,4,kdk,overlap,direct,exact,4,double,0.391649,0.008907,0.000122,0.378638,0.000000,0.000264,0.003701,0.266479,OK,9.54183507277028e-08
weak,1000,100,1,1,5,kdk,overlap,direct,exact,4,double,0.387918,0.005318,0.000124,0.378541,0.000000,0.000268,0.003650,0.266547,OK,7.2665445016072631e-08
weak,2000,100,2,1,1,kdk,overlap,direct,exact,4,double,0.782317,0.010039,0.000123,0.761375,0.001684,0.000285,0.012256,0.530354,OK,1.1421367698839518e-07
weak,2000,100,2,1,2,kdk,overlap,direct,exact,4,double,0.776572,0.004658,0.000122,0.760973,0.001702,0.000289,0.011346,0.530634,OK,5.8937895862557788e-08
weak,2000,100,2,1,3,kdk,overlap,direct,exact,4,double,0.777393,0.004738,0.000121,0.761708,0.001714,0.000299,0.012521,0.530122,OK,5.6340543982177985e-08
weak,2000,100,2,1,4,kdk,overlap,direct,exact,4,double,0.778125,0.006214,0.000123,0.761005,0.001682,0.000292,0.011462,0.530612,OK,1.8417970882502872e-07
weak,2000,100,2,1,5,kdk,overlap,direct,exact,4,double,0.778627,0.006423,0.000121,0.761239,0.001710,0.000295,0.011726,0.530448,OK,1.9104039200838927e-07
weak,4000,100,4,1,1,kdk,overlap,direct,exact,4,double,1.553311,0.009625,0.000124,1.519162,0.002798,0.000318,0.025714,1.063479,OK,1.1625451071607905e-07
weak,4000,100,4,1,2,kdk,overlap,direct,exact,4,double,1.552438,0.008512,0.000125,1.519435,0.002703,0.000325,0.026011,1.063287,OK,4.6653426319406479e-09
weak,4000,100,4,1,3,kdk,overlap,direct,exact,4,double,1.552778,0.009648,0.000125,1.518650,0.002691,0.000321,0.025074,1.063837,OK,1.1261621024228999e-07
weak,4000,100,4,1,4,kdk,overlap,direct,exact,4,double,1.550082,0.006584,0.000124,1.518870,0.002801,0.000316,0.025772,1.063683,OK,2.4504648077907701e-07
weak,4000,100,4,1,5,kdk,overlap,direct,exact,4,double,1.549969,0.006652,0.000129,1.518731,0.002815,0.000309,0.024961,1.063780,OK,2.2482030442103413e-07
weak,8000,100,8,1,1,kdk,overlap,direct,exact,4,double,3.098436,0.012411,0.000124,3.035785,0.005034,0.000331,0.053043,2.129002,OK,5.9109333638668209e-08
weak,8000,100,8,1,2,kdk,overlap,direct,exact,4,double,3.093956,0.009184,0.000126,3.035266,0.004807,0.000337,0.052407,2.129366,OK,1.7123125868591773e-08
weak,8000,100,8,1,3,kdk,overlap,direct,exact,4,double,3.095148,0.009975,0.000127,3.034983,0.004828,0.000335,0.052691,2.129565,OK,5.0183582141233837e-08
weak,8000,100,8,1,4,kdk,overlap,direct,exact,4,double,3.096957,0.009558,0.000127,3.038893,0.005211,0.000339,0.054943,2.126825,OK,2.629386784563017e-07
weak,8000,100,8,1,5,kdk,overlap,direct,exact,4,double,3.098751,0.012931,0.000126,3.034442,0.004940,0.000329,0.053922,2.129944,OK,2.3851942109259866e-07
weak,16000,100,16,1,1,kdk,overlap,direct,exact,4,double,6.199344,0.018094,0.000127,6.075233,0.015953,0.000396,0.116313,4.255703,OK,2.3459415754677663e-07
weak,16000,100,16,1,2,kdk,overlap,direct,exact,4,double,6.187047,0.014794,0.000131,6.070449,0.011954,0.000375,0.108768,4.259056,OK,1.3549009829832081e-07
weak,16000,100,16,1,3,kdk,overlap,direct,exact,4,double,6.210635,0.015088,0.000130,6.089620,0.031565,0.000374,0.133327,4.245648,OK,1.3704706775239131e-07
weak,16000,100,16,1,4,kdk,overlap,direct,exact,4,double,6.209541,0.015619,0.000127,6.091116,0.025412,0.000374,0.129934,4.244606,OK,2.036863014287379e-07
weak,16000,100,16,1,5,kdk,overlap,direct,exact,4,double,6.187300,0.014863,0.000127,6.069880,0.010486,0.000387,0.108398,4.259456,OK,2.2532934787818092e-07
weak,32000,100,32,1,1,kdk,overlap,direct,exact,4,double,12.423410,0.034898,0.000131,12.180196,0.058251,0.000408,0.255850,8.490895,OK,4.229165381301191e-07
weak,32000,100,32,1,2,kdk,overlap,direct,exact,4,double,12.397586,0.031511,0.000141,12.151675,0.031526,0.000393,0.236124,8.510824,OK,2.4852056158965667e-07
weak,32000,100,32,1,3,kdk,overlap,direct,exact,4,double,12.415055,0.030820,0.000135,12.178775,0.061373,0.000392,0.250252,8.491886,OK,1.9446986886317966e-08
weak,32000,100,32,1,4,kdk,overlap,direct,exact,4,double,12.402405,0.032112,0.000134,12.171377,0.050369,0.000392,0.237091,8.497048,OK,7.4181349489394827e-07
weak,32000,100,32,1,5,kdk,overlap,direct,exact,4,double,12.393859,0.032888,0.000132,12.150260,0.031303,0.000393,0.232797,8.511815,OK,3.1663679378220329e-07
weak,64000,100,64,1,1,kdk,overlap,direct,exact,4,double,24.814983,0.076934,0.000149,24.351744,0.115537,0.000387,0.470910,16.988086,OK,6.1424356258381781e-07
weak,64000,100,64,1,2,kdk,overlap,direct,exact,4,double,24.794695,0.069576,0.000136,24.296641,0.067205,0.000395,0.465383,17.026614,OK,5.0615459150946845e-07
weak,64000,100,64,1,3,kdk,overlap,direct,exact,4,double,24.803500,0.068687,0.000132,24.307743,0.069028,0.000408,0.463580,17.018838,OK,7.3330096895740383e-07
weak,64000,100,64,1,4,kdk,overlap,direct,exact,4,double,24.810056,0.085093,0.000138,24.302695,0.065658,0.000393,0.461275,17.022373,OK,1.2096484916519842e-06
weak,64000,100,64,1,5,kdk,overlap,direct,exact,4,double,24.846199,0.077568,0.000133,24.377226,0.147883,0.000393,0.502753,16.970329,OK,1.3556969603892514e-06
