kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,32,2,1,kdk,overlap,direct,exact,4,double,0.682419,0.039377,0.000135,0.630811,0.016662,0.000254,0.014182,16.009543,OK,1.662184009434792e-07
strong,10000,100,32,2,2,kdk,overlap,direct,exact,4,double,0.681444,0.035198,0.000142,0.634528,0.020952,0.000254,0.012859,15.915748,OK,1.0007068675817504e-07
strong,10000,100,32,2,3,kdk,overlap,direct,exact,4,double,0.746087,0.034268,0.000138,0.699681,0.085211,0.000697,0.018121,14.433698,OK,1.0108481338745483e-07
strong,10000,100,32,2,4,kdk,overlap,direct,exact,4,double,0.679298,0.034216,0.000137,0.632696,0.018502,0.000260,0.014314,15.961832,OK,2.6583932580535362e-07
strong,10000,100,32,2,5,kdk,overlap,direct,exact,4,double,0.678161,0.034655,0.000138,0.631101,0.017084,0.000275,0.014227,16.002177,OK,2.0057647803197792e-07
weak,32000,100,32,2,1,kdk,overlap,direct,exact,4,double,6.258954,0.043255,0.000242,6.114977,0.034617,0.000454,0.121890,16.912698,OK,4.229165381301191e-07
weak,32000,100,32,2,2,kdk,overlap,direct,exact,4,double,6.634016,0.033662,0.000234,6.501237,0.416992,0.000509,0.160587,15.907860,OK,2.4852056158965667e-07
weak,32000,100,32,2,3,kdk,overlap,direct,exact,4,double,6.264470,0.041957,0.000245,6.116833,0.038642,0.000450,0.126024,16.907569,OK,1.9446986886317966e-08
weak,32000,100,32,2,4,kdk,overlap,direct,exact,4,double,6.256315,0.035631,0.000243,6.113698,0.033363,0.000450,0.127220,16.916237,OK,7.4181349489394827e-07
weak,32000,100,32,2,5,kdk,overlap,direct,exact,4,double,6.254709,0.037527,0.000242,6.114827,0.035621,0.000460,0.121929,16.913114,OK,3.1663679378220329e-07
