kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,2,32,1,kdk,overlap,direct,exact,4,double,0.646658,0.005138,0.001155,0.625454,0.009477,0.002210,0.012749,16.146654,OK,1.662184009434792e-07
strong,10000,100,2,32,2,kdk,overlap,direct,exact,4,double,0.649246,0.006925,0.001232,0.626267,0.012273,0.003234,0.012742,16.125689,OK,1.0007068675817504e-07
strong,10000,100,2,32,3,kdk,overlap,direct,exact,4,double,0.645127,0.006953,0.001115,0.620234,0.005550,0.002172,0.014704,16.282535,OK,1.0108481338745483e-07
strong,10000,100,2,32,4,kdk,overlap,direct,exact,4,double,0.641680,0.004952,0.001115,0.620656,0.006870,0.002170,0.012761,16.271486,OK,2.6583932580535362e-07
strong,10000,100,2,32,5,kdk,overlap,direct,exact,4,double,0.647618,0.004930,0.001197,0.623457,0.009092,0.002193,0.015959,16.198374,OK,2.0057647803197792e-07
weak,2000,100,2,32,1,kdk,overlap,direct,exact,4,double,0.045600,0.006573,0.000871,0.034589,0.001582,0.001782,0.001875,11.674301,OK,1.1421367698839518e-07
weak,2000,100,2,32,2,kdk,overlap,direct,exact,4,double,0.050820,0.006214,0.000835,0.036146,0.003020,0.001741,0.006053,11.171223,OK,5.8937895862557788e-08
weak,2000,100,2,32,3,kdk,overlap,direct,exact,4,double,0.043295,0.004183,0.000817,0.034738,0.001660,0.001721,0.001887,11.624181,OK,5.6340543982177985e-08
weak,2000,100,2,32,4,kdk,overlap,direct,exact,4,double,0.045700,0.005636,0.000860,0.035374,0.002323,0.001904,0.002035,11.414965,OK,1.8417970882502872e-07
weak,2000,100,2,32,5,kdk,overlap,direct,exact,4,double,0.046257,0.007037,0.000849,0.034790,0.001558,0.001726,0.001959,11.606744,OK,1.9104039200838927e-07
