kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,16,4,1,kdk,overlap,direct,exact,4,double,0.657001,0.022479,0.000162,0.621187,0.008048,0.000303,0.014378,16.257575,OK,1.662184009434792e-07
strong,10000,100,16,4,2,kdk,overlap,direct,exact,4,double,0.656307,0.020997,0.000155,0.623367,0.009641,0.000302,0.014763,16.200719,OK,1.0007068675817504e-07
strong,10000,100,16,4,3,kdk,overlap,direct,exact,4,double,0.653607,0.020543,0.000149,0.620808,0.007473,0.000306,0.013400,16.267504,OK,1.0108481338745483e-07
strong,10000,100,16,4,4,kdk,overlap,direct,exact,4,double,0.658201,0.020238,0.000149,0.626587,0.013248,0.000303,0.012691,16.117459,OK,2.6583932580535362e-07
strong,10000,100,16,4,5,kdk,overlap,direct,exact,4,double,0.655082,0.017986,0.000153,0.625515,0.011913,0.000304,0.016035,16.145076,OK,2.0057647803197792e-07
weak,16000,100,16,4,1,kdk,overlap,direct,exact,4,double,1.588461,0.018559,0.000194,1.541992,0.012825,0.000400,0.032609,16.766871,OK,2.3459415754677663e-07
weak,16000,100,16,4,2,kdk,overlap,direct,exact,4,double,1.589111,0.018230,0.000202,1.542900,0.014003,0.000367,0.034198,16.757009,OK,1.3549009829832081e-07
weak,16000,100,16,4,3,kdk,overlap,direct,exact,4,double,1.590779,0.018439,0.000194,1.541594,0.011613,0.000382,0.035334,16.771206,OK,1.3704706775239131e-07
weak,16000,100,16,4,4,kdk,overlap,direct,exact,4,double,1.585348,0.017484,0.000192,1.541512,0.010990,0.000369,0.030130,16.772097,OK,2.036863014287379e-07
weak,16000,100,16,4,5,kdk,overlap,direct,exact,4,double,1.586900,0.018806,0.000193,1.540925,0.011234,0.000621,0.031437,16.778482,OK,2.2532934787818092e-07
