# N-body Orfeo results export
2026-08-17T14:27:30+02:00

## Run directory
/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_seq_20260817_120943

## Jobs
step	jobid
01_mpi	1460689
02_hybrid	1460699
03_ablation	1460701
04_evidence	1460711

## sacct
JobID             State ExitCode    Elapsed  AllocCPUS        NodeList 
1460699.29    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.30    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.31    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.32    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.33    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.34    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.35    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.36    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.37    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.38    COMPLETED      0:0   00:00:02         16        genoa001 
1460699.39    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.40    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.41    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.42    COMPLETED      0:0   00:00:00         16        genoa001 
1460699.43    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.44    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.45    COMPLETED      0:0   00:00:00         16        genoa001 
1460699.46    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.47    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.48    COMPLETED      0:0   00:00:02         16        genoa001 
1460699.49    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.50    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.51    COMPLETED      0:0   00:00:02         16        genoa001 
1460699.52    COMPLETED      0:0   00:00:03         16        genoa001 
1460699.53    COMPLETED      0:0   00:00:02         16        genoa001 
1460699.54    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.55    COMPLETED      0:0   00:00:00         16        genoa001 
1460699.56    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.57    COMPLETED      0:0   00:00:00         16        genoa001 
1460699.58    COMPLETED      0:0   00:00:01         16        genoa001 
1460699.59    COMPLETED      0:0   00:00:00         16        genoa001 

JobID             State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- -------- ---------- ---------- --------------- 
1460701       COMPLETED      0:0   00:08:14         16        genoa001 
1460701.bat+  COMPLETED      0:0   00:08:14         16        genoa001 
1460701.ext+  COMPLETED      0:0   00:08:14         16        genoa001 
1460701.0     COMPLETED      0:0   00:00:45          1        genoa001 
1460701.1     COMPLETED      0:0   00:00:44          1        genoa001 
1460701.2     COMPLETED      0:0   00:00:45          1        genoa001 
1460701.3     COMPLETED      0:0   00:00:45          1        genoa001 
1460701.4     COMPLETED      0:0   00:00:44          1        genoa001 
1460701.5     COMPLETED      0:0   00:00:35          1        genoa001 
1460701.6     COMPLETED      0:0   00:00:36          1        genoa001 
1460701.7     COMPLETED      0:0   00:00:35          1        genoa001 
1460701.8     COMPLETED      0:0   00:00:35          1        genoa001 
1460701.9     COMPLETED      0:0   00:00:35          1        genoa001 
1460701.10    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.11    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.12    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.13    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.14    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.15    COMPLETED      0:0   00:00:06         16        genoa001 
1460701.16    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.17    COMPLETED      0:0   00:00:06         16        genoa001 
1460701.18    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.19    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.20    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.21    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.22    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.23    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.24    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.25    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.26    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.27    COMPLETED      0:0   00:00:04         16        genoa001 
1460701.28    COMPLETED      0:0   00:00:05         16        genoa001 
1460701.29    COMPLETED      0:0   00:00:04         16        genoa001 

JobID             State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- -------- ---------- ---------- --------------- 
1460711       COMPLETED      0:0   00:48:55          8        genoa001 
1460711.bat+  COMPLETED      0:0   00:48:55          8        genoa001 
1460711.ext+  COMPLETED      0:0   00:48:55          8        genoa001 
1460711.0     COMPLETED      0:0   00:01:48          8        genoa001 
1460711.1     COMPLETED      0:0   00:01:48          8        genoa001 
1460711.2     COMPLETED      0:0   00:01:48          8        genoa001 
1460711.3     COMPLETED      0:0   00:01:49          8        genoa001 
1460711.4     COMPLETED      0:0   00:01:48          8        genoa001 
1460711.5     COMPLETED      0:0   00:01:49          8        genoa001 
1460711.6     COMPLETED      0:0   00:01:48          8        genoa001 
1460711.7     COMPLETED      0:0   00:01:08          8        genoa001 
1460711.8     COMPLETED      0:0   00:01:08          8        genoa001 
1460711.9     COMPLETED      0:0   00:01:09          8        genoa001 
1460711.10    COMPLETED      0:0   00:01:08          8        genoa001 
1460711.11    COMPLETED      0:0   00:01:08          8        genoa001 
1460711.12    COMPLETED      0:0   00:01:08          8        genoa001 
1460711.13    COMPLETED      0:0   00:01:08          8        genoa001 
1460711.14    COMPLETED      0:0   00:01:04          8        genoa001 
1460711.15    COMPLETED      0:0   00:01:03          8        genoa001 
1460711.16    COMPLETED      0:0   00:01:03          8        genoa001 
1460711.17    COMPLETED      0:0   00:01:03          8        genoa001 
1460711.18    COMPLETED      0:0   00:01:04          8        genoa001 
1460711.19    COMPLETED      0:0   00:01:03          8        genoa001 
1460711.20    COMPLETED      0:0   00:01:03          8        genoa001 
1460711.21    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.22    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.23    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.24    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.25    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.26    COMPLETED      0:0   00:00:59          8        genoa001 
1460711.27    COMPLETED      0:0   00:00:59          8        genoa001 

## Files
/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_seq_20260817_120943/01_mpi/results_1_mpi_orfeo.csv
/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_seq_20260817_120943/01_mpi/results_1_mpi_orfeo_strong_comm_bandwidth.svg
